query,clicks,impressions,ctr,position,type
הסכם אי תחרות דוגמא,0,1,0.00%,28.0,NON_BRANDED
הסכם אי תחרות וסודיות,0,1,0.00%,9.0,NON_BRANDED
הסכם אי תחרות פרילנסר,0,9,0.00%,21.7,NON_BRANDED
הסכם גירושים לדוגמא,0,3,0.00%,73.0,NON_BRANDED
הסכם גירושים להורדה,0,45,0.00%,48.1,NON_BRANDED
הסכם גירושין doc,0,85,0.00%,16.0,NON_BRANDED
הסכם גירושין pdf,0,108,0.00%,61.6,NON_BRANDED
הסכם גירושין בהסכמה דוגמא,0,105,0.00%,61.5,NON_BRANDED
הסכם גירושין בהסכמה לדוגמא,0,2,0.00%,60.5,NON_BRANDED
הסכם גירושין בהסכמה להורדה,0,17,0.00%,61.2,NON_BRANDED
הסכם גירושין בהסכמה מחיר,0,54,0.00%,72.6,NON_BRANDED
הסכם גירושין בחיפה מחיר,0,2,0.00%,35.0,NON_BRANDED
הסכם גירושין דוגמא,0,469,0.00%,47.7,NON_BRANDED
הסכם גירושין לדוגמא,0,134,0.00%,55.8,NON_BRANDED
הסכם גירושין להדפסה,0,1,0.00%,74.0,NON_BRANDED
הסכם גירושין להורדה,0,60,0.00%,51.9,NON_BRANDED
הסכם גירושין להורדה בחינם,0,90,0.00%,50.4,NON_BRANDED
הסכם גירושין ללא ילדים להורדה,0,2,0.00%,65.5,NON_BRANDED
הסכם גירושין ללא עורך דין להורדה,0,5,0.00%,62.2,NON_BRANDED
הסכם גירושין מחיר,0,180,0.00%,60.4,NON_BRANDED
הסכם גירושין משמורת משותפת,0,1,0.00%,88.0,NON_BRANDED
הסכם גישור גירושין לדוגמא,0,88,0.00%,79.6,NON_BRANDED
הסכם הסדר חוב,0,2,0.00%,39.5,NON_BRANDED
הסכם השכרת רכב,0,1,0.00%,33.0,NON_BRANDED
הסכם חיים משותפים,0,2,0.00%,69.5,NON_BRANDED
הסכם חיים משותפים עורך דין,0,1,0.00%,94.0,NON_BRANDED
הסכם חלוקת רכוש דוגמא,0,17,0.00%,73.5,NON_BRANDED
הסכם יחסי ממון בין בני זוג,0,3,0.00%,64.0,NON_BRANDED
הסכם יחסי ממון וגירושין,0,1,0.00%,66.0,NON_BRANDED
הסכם מזונות,0,7,0.00%,87.9,NON_BRANDED
הסכם מזונות דוגמא,0,101,0.00%,52.0,NON_BRANDED
הסכם מכר אגב גירושין דוגמא,0,23,0.00%,37.6,NON_BRANDED
הסכם מכר בין אחים,0,7,0.00%,72.6,NON_BRANDED
הסכם מכר דירת קבלן,0,5,0.00%,29.0,NON_BRANDED
הסכם ממון,0,93,0.00%,61.9,NON_BRANDED
הסכם ממון אונליין,0,1,0.00%,26.0,NON_BRANDED
הסכם ממון אחרי החתונה,0,36,0.00%,61.4,NON_BRANDED
הסכם ממון אחרי נישואים,0,41,0.00%,62.6,NON_BRANDED
הסכם ממון אחרי נישואין,0,2,0.00%,50.0,NON_BRANDED
הסכם ממון בין בני זוג,0,208,0.00%,57.1,NON_BRANDED
הסכם ממון בין בני זוג לא נשואים,0,37,0.00%,80.0,NON_BRANDED
הסכם ממון במהלך הנישואין,0,2,0.00%,68.5,NON_BRANDED
הסכם ממון במהלך נישואין,0,7,0.00%,28.4,NON_BRANDED
הסכם ממון בעד ונגד,0,11,0.00%,15.5,NON_BRANDED
הסכם ממון בפתח תקווה,0,15,0.00%,56.4,NON_BRANDED
הסכם ממון גירושין,0,3,0.00%,61.3,NON_BRANDED
הסכם ממון דירה,0,1,0.00%,71.0,NON_BRANDED
הסכם ממון דירה לפני הנישואין,0,31,0.00%,56.6,NON_BRANDED
הסכם ממון הפרדה רכושית,0,1,0.00%,59.0,NON_BRANDED
הסכם ממון וירושה,0,4,0.00%,85.3,NON_BRANDED
הסכם ממון ומשכנתא,0,12,0.00%,38.9,NON_BRANDED
הסכם ממון ופנסיה,0,3,0.00%,79.0,NON_BRANDED
הסכם ממון טרום נישואין,0,1,0.00%,84.0,NON_BRANDED
הסכם ממון לאחר 20 שנות נישואין,0,1,0.00%,21.0,NON_BRANDED
הסכם ממון לאחר החתונה,0,16,0.00%,81.9,NON_BRANDED
הסכם ממון לאחר הנישואין,0,1,0.00%,46.0,NON_BRANDED
הסכם ממון לאחר נישואים,0,19,0.00%,56.3,NON_BRANDED
הסכם ממון לאחר נישואין,0,85,0.00%,55.3,NON_BRANDED
הסכם ממון לזוג נשוי,0,2,0.00%,40.5,NON_BRANDED
הסכם ממון ללא עורך דין,0,68,0.00%,54.5,NON_BRANDED
הסכם ממון לפני נישואים,0,1,0.00%,53.0,NON_BRANDED
הסכם ממון לפני נישואין בתל אביב,0,12,0.00%,37.3,NON_BRANDED
הסכם ממון מדורג,0,64,0.00%,72.4,NON_BRANDED
הסכם ממון מה זה,0,10,0.00%,65.1,NON_BRANDED
הסכם ממון מהו,0,1,0.00%,78.0,NON_BRANDED
הסכם ממון משכנתא,0,11,0.00%,60.0,NON_BRANDED
הסכם ממון עורך דין,0,30,0.00%,60.4,NON_BRANDED
הסכם ממון על דירה,0,219,0.00%,62.7,NON_BRANDED
הסכם ממון על דירה דוגמא,0,2,0.00%,91.0,NON_BRANDED
הסכם ממון עם משכנתא,0,5,0.00%,58.4,NON_BRANDED
הסכם ממון פרק ב,0,29,0.00%,26.7,NON_BRANDED
הסכם ממון פרק ב דוגמא,0,3,0.00%,30.0,NON_BRANDED
הסכם משמורת משותפת דוגמא,0,1,0.00%,76.0,NON_BRANDED
הסכם פירוד ידועים בציבור,0,8,0.00%,56.4,NON_BRANDED
הסכם פירוק שותפות לדוגמא,0,1,0.00%,32.0,NON_BRANDED
הסכם פירוק שיתוף בדירה,0,1,0.00%,72.0,NON_BRANDED
הסכם פירוק שיתוף בין בני זוג דוגמא,0,1,0.00%,25.0,NON_BRANDED
הסכם פרידה דוגמא,0,26,0.00%,78.5,NON_BRANDED
הסכם פרידה ידועים בציבור,0,10,0.00%,71.9,NON_BRANDED
הסכם פשרה דיני עבודה,0,1,0.00%,50.0,NON_BRANDED
הסכם ראשוני בכתב,0,1,0.00%,9.0,NON_BRANDED
הסכם רכוש בין בני זוג,0,1,0.00%,41.0,NON_BRANDED
הסכם שיתוף במקרקעין מס שבח,0,1,0.00%,67.0,NON_BRANDED
הסכם שכירות,0,111,0.00%,58.1,NON_BRANDED
הסכם שכירות דייר משנה,0,2,0.00%,69.5,NON_BRANDED
הסכם שכירות דירה,0,12,0.00%,54.8,NON_BRANDED
הסכם שכירות יחידת דיור,0,1,0.00%,68.0,NON_BRANDED
הסכם שכירות לדירה,0,1,0.00%,86.0,NON_BRANDED
הסכם שכירות לטובת השוכר,0,1,0.00%,58.0,NON_BRANDED
הסכם שכירות ללא תמורה,0,1,0.00%,25.0,NON_BRANDED
הסכם שכירות מחסן בבניין,0,1,0.00%,81.0,NON_BRANDED
הסכם שכירות משנה,0,26,0.00%,31.3,NON_BRANDED
הסכם שכירות משרדים,0,21,0.00%,67.1,NON_BRANDED
הסכם שכירות פשוט,0,1,0.00%,27.0,NON_BRANDED
הסכם שלום בית דוגמא,0,2,0.00%,74.5,NON_BRANDED
הסכמה למסירת מידע,0,1,0.00%,30.0,NON_BRANDED
הסכמה למסירת מידע מהמרשם הפלילי,0,2,0.00%,29.0,NON_BRANDED
הסכמי גירושין דוגמאות,0,4,0.00%,29.5,NON_BRANDED
הסכמי שכירות,0,42,0.00%,45.3,NON_BRANDED
הסמכה ייפוי כוח מתמשך,0,3,0.00%,66.7,NON_BRANDED
הסנגוריה הציבורית,0,11,0.00%,61.5,NON_BRANDED
הסניגוריה הציבורית,0,1,0.00%,58.0,NON_BRANDED
הסרת מסמכים משפטיים מגוגל,0,1,0.00%,38.0,NON_BRANDED
הסרת משנע,0,3,0.00%,80.7,NON_BRANDED
הסרת פסקי דין מגוגל,0,24,0.00%,64.1,NON_BRANDED
הסרת פסקי דין מהאינטרנט,0,2,0.00%,79.5,NON_BRANDED
העברת כסף לחול לקניית דירה,0,2,0.00%,95.5,NON_BRANDED
העברת משמורת מאם לאב,0,3,0.00%,85.7,NON_BRANDED
העדר התייחסות לתלונות של היולדת בדבר כאבים,0,1,0.00%,28.0,NON_BRANDED
העורך דין הכי טוב בארץ,0,1,0.00%,52.0,NON_BRANDED
העלמת כספים בגירושין,0,39,0.00%,72.9,NON_BRANDED
העסקת עובד,0,1,0.00%,77.0,NON_BRANDED
העסקת עובדים,0,1,0.00%,78.0,NON_BRANDED
הערכאה,0,2,0.00%,81.0,NON_BRANDED
הפניקס דסק מעסיקים,0,1,0.00%,43.0,NON_BRANDED
הפניקס משטרה שיניים,0,1,0.00%,76.0,NON_BRANDED
הפעלת ייפוי כוח מתמשך,0,28,0.00%,77.5,NON_BRANDED
הפעלת ייפוי כח מתמשך,0,1,0.00%,67.0,NON_BRANDED
הפעלת יפוי כוח מתמשך,0,2,0.00%,67.5,NON_BRANDED
הפקדת ייפוי כוח מתמשך,0,32,0.00%,81.0,NON_BRANDED
הפקדת ייפוי כח מתמשך,0,2,0.00%,68.0,NON_BRANDED
הפקדת יפוי כוח מתמשך,0,3,0.00%,67.7,NON_BRANDED
הפקדת צ'ק בנק הפועלים,0,2,0.00%,87.0,NON_BRANDED
הפקדת שיק על שם ילד,0,3,0.00%,74.0,NON_BRANDED
הפרדה רכושית ללא הסכם ממון,0,1,0.00%,98.0,NON_BRANDED
הפרדת חשבונות בנק לפני גירושין,0,4,0.00%,68.3,NON_BRANDED
הפרת הסכם גירושין,0,27,0.00%,52.5,NON_BRANDED
הפרת הסכם שותפות,0,1,0.00%,52.0,NON_BRANDED
הצהרת עורך דין ייפוי כוח מתמשך,0,1,0.00%,23.0,NON_BRANDED
הצעת הסדר חדלות פירעון,0,2,0.00%,30.0,NON_BRANDED
הצעת הסדר נושים,0,1,0.00%,22.0,NON_BRANDED
הקלטות שיחות,0,3,0.00%,57.0,NON_BRANDED
"הקמת חברה בחו""ל",0,1,0.00%,38.0,NON_BRANDED
הרב שלמה צרור,0,8,0.00%,10.4,NON_BRANDED
הרבנות הראשית חיפה גירושין,0,1,0.00%,63.0,NON_BRANDED
הרדמה באנגלית,0,2,0.00%,21.0,NON_BRANDED
הרדמה מקומית תופעות לוואי,0,2,0.00%,63.0,NON_BRANDED
הרדמה ספינלית תופעות לוואי,0,70,0.00%,19.5,NON_BRANDED
הרי קירש,0,1,0.00%,59.0,NON_BRANDED
הרמת מסך בדיני עבודה,0,14,0.00%,40.0,NON_BRANDED
הרצל גולן,0,6,0.00%,16.8,NON_BRANDED
הרשות השופטת פסקי דין,0,4,0.00%,25.0,NON_BRANDED
הרשות השופטת שופטים,0,1,0.00%,14.0,NON_BRANDED
הרשות להגנת הצרכן סטטוס תלונה,0,1,0.00%,66.0,NON_BRANDED
הרשות לניירות ערך טלפון,0,6,0.00%,14.2,NON_BRANDED
הרשות לניירות ערך כתובת,0,1,0.00%,16.0,NON_BRANDED
הרשעה,0,6,0.00%,51.2,NON_BRANDED
הרשעה פירוש,0,2,0.00%,32.5,NON_BRANDED
הרשעות,0,1,0.00%,32.0,NON_BRANDED
השבת רכוש מרומניה,0,51,0.00%,16.9,NON_BRANDED
השופט,0,1,0.00%,20.0,NON_BRANDED
השופט אבי סתיו,0,1,0.00%,29.0,NON_BRANDED
השופט אביגדור דורות,0,3,0.00%,9.7,NON_BRANDED
השופט אביים ברקאי,0,1,0.00%,77.0,NON_BRANDED
השופט אילן איטח,0,2,0.00%,27.0,NON_BRANDED
השופט ארז שני,0,2,0.00%,8.5,NON_BRANDED
השופט גיא שני,0,1,0.00%,30.0,NON_BRANDED
השופט טל פרי,0,1,0.00%,33.0,NON_BRANDED
השופט מגן אלטוביה,0,1,0.00%,30.0,NON_BRANDED
השופט מוחמד עלי,0,1,0.00%,71.0,NON_BRANDED
השופט מוטי פירר,0,1,0.00%,13.0,NON_BRANDED
השופט ערן גלברד,0,1,0.00%,28.0,NON_BRANDED
השופט צבי פרנקל,0,1,0.00%,21.0,NON_BRANDED
השופט קייס נאשף,0,1,0.00%,8.0,NON_BRANDED
השופט שאול שוחט,0,1,0.00%,45.0,NON_BRANDED
השופטים בבית המשפט העליון,0,1,0.00%,52.0,NON_BRANDED
השופטת,0,2,0.00%,26.5,NON_BRANDED
השופטת אפרת ונקרט,0,1,0.00%,41.0,NON_BRANDED
השופטת אפרת לקסר,0,1,0.00%,24.0,NON_BRANDED
השופטת הילה כהן,0,1,0.00%,58.0,NON_BRANDED
השופטת יפעת מישורי,0,1,0.00%,4.0,NON_BRANDED
השופטת מיכל ברגר בלום,0,6,0.00%,10.0,NON_BRANDED
השחקנים בשולחן לחמישה,0,1,0.00%,53.0,NON_BRANDED
השחתת הבית על ידי הגרושה על מנת להפחית מערכו,0,2,0.00%,23.5,NON_BRANDED
השכרת דירות בחול,0,1,0.00%,30.0,NON_BRANDED
השלכות מס לתושב חוזר,0,11,0.00%,37.1,NON_BRANDED
השמה לעורכי דין,0,4,0.00%,16.8,NON_BRANDED
השמה עורכי דין,0,4,0.00%,16.3,NON_BRANDED
השמת עורכי דין,0,1,0.00%,20.0,NON_BRANDED
השמת עורכי דין בכירים,0,18,0.00%,9.8,NON_BRANDED
השפעה בלתי הוגנת בצוואה,0,3,0.00%,63.3,NON_BRANDED
השפעה בלתי הוגנת ספר,0,1,0.00%,63.0,NON_BRANDED
השקעה בבתים בגרמניה,0,5,0.00%,44.0,NON_BRANDED
השקעה בדירה בחול,0,2,0.00%,31.0,NON_BRANDED
השקעה בפורטו,0,11,0.00%,93.1,NON_BRANDED
השקעות משפטיות,0,2,0.00%,26.0,NON_BRANDED
"השקעות נדל""ן בפורטוגל",0,5,0.00%,64.8,NON_BRANDED
השקעות נדלן באוסטריה,0,1,0.00%,69.0,NON_BRANDED
השקעות ערך אסף נתן,0,1,0.00%,63.0,NON_BRANDED
השתק פלוגתא לא הדדי הגנתי דוגמה,0,1,0.00%,49.0,NON_BRANDED
התייעצות משפטית,0,1,0.00%,25.0,NON_BRANDED
התייעצות עם עורך דין,0,38,0.00%,44.9,NON_BRANDED
התייעצות עם עורך דין בחינם,0,1,0.00%,51.0,NON_BRANDED
התייעצות עם עורך דין חינם,0,1,0.00%,38.0,NON_BRANDED
התייעצות עם עורך דין לענייני עבודה,0,11,0.00%,47.5,NON_BRANDED
התיישנות בקשה לביטול צו קיום צוואה,0,1,0.00%,72.0,NON_BRANDED
התכנון והבניה,0,1,0.00%,25.0,NON_BRANDED
התליית רישיון רופא,0,4,0.00%,8.5,NON_BRANDED
התמודדות עם צו הסגירה,0,2,0.00%,22.0,NON_BRANDED
התמחרות דירה,0,3,0.00%,21.0,NON_BRANDED
התנגדות למינוי מנהל עזבון,0,1,0.00%,59.0,NON_BRANDED
התנגדות לצוואה בגין השפעה בלתי הוגנת,0,3,0.00%,34.0,NON_BRANDED
התנגדות לצוואה בעדים,0,1,0.00%,69.0,NON_BRANDED
התנגדות לצוואה השפעה בלתי הוגנת,0,114,0.00%,30.6,NON_BRANDED
התנגדות לצוואה שלא במועד דחיית תביעה,0,2,0.00%,19.0,NON_BRANDED
התקנת נט המשפט,0,9,0.00%,52.3,NON_BRANDED
התקשיר,0,1,0.00%,50.0,NON_BRANDED
ודאד יונס גנאים,0,2,0.00%,45.0,NON_BRANDED
ויזה הומניטרית,0,1,0.00%,74.0,NON_BRANDED
ויתור מזונות ילדים,0,9,0.00%,43.2,NON_BRANDED
ועדת אתיקה חוק זכויות החולה קפות חולים,0,1,0.00%,50.0,NON_BRANDED
ועדת שניט חזקת הגיל הרך,0,1,0.00%,89.0,NON_BRANDED
ורד פיליכובסקי,0,1,0.00%,60.0,NON_BRANDED
ורד ריקנטי רוסהר,0,1,0.00%,131.0,NON_BRANDED
זאב גורודצקי,0,1,0.00%,68.0,NON_BRANDED
זאב הנדזל,0,1,0.00%,49.0,NON_BRANDED
זכויות אישה שבעלה עזב את הבית,0,1,0.00%,71.0,NON_BRANDED
זכויות דיירים בשכירות,0,1,0.00%,69.0,NON_BRANDED
זכויות השוכר,0,1,0.00%,46.0,NON_BRANDED
זכויות נפגעי עבירה בהליך הפלילי,0,1,0.00%,19.0,NON_BRANDED
זכויות עובדים ייעוץ חינם,0,9,0.00%,84.9,NON_BRANDED
זכויות פרילנסר,0,2,0.00%,71.5,NON_BRANDED
זכויות של שוכר דירה,0,1,0.00%,47.0,NON_BRANDED
זכויות תושב חוזר ותיק ביטוח לאומי,0,1,0.00%,62.0,NON_BRANDED
זכויות תושב חוזר מכס,0,1,0.00%,34.0,NON_BRANDED
זכויות תושב חוזר קניית רכב בארץ,0,1,0.00%,37.0,NON_BRANDED
זכיות שוכר,0,5,0.00%,38.6,NON_BRANDED
זרה חוות דעת,0,4,0.00%,13.3,NON_BRANDED
"חברה להשקעות נדל""ן בפורטוגל",0,1,0.00%,22.0,NON_BRANDED
חברה לניהול נכסים בפורטוגל,0,14,0.00%,54.3,NON_BRANDED
"חברה לקידום אתרים באינטרנט,-,,44",0,5,0.00%,86.0,NON_BRANDED
"חברה לקידום אתרים בגוגל,-,,53",0,3,0.00%,83.0,NON_BRANDED
"חברה לקידום אתרים בחיפה,-,,61",0,13,0.00%,81.3,NON_BRANDED
חברה קבלנית,0,1,0.00%,2.0,NON_BRANDED
חברות השמה עורכי דין,0,2,0.00%,20.0,NON_BRANDED
חברת isa,0,1,0.00%,99.0,NON_BRANDED
"חברת seo,-,,85",0,5,0.00%,37.2,NON_BRANDED
חברת הביטוח שלחה חוקר פרטי,0,4,0.00%,76.5,NON_BRANDED
חגית מטלין,0,1,0.00%,98.0,NON_BRANDED
חדלות פירעון חברה,0,1,0.00%,68.0,NON_BRANDED
חדלות פירעון לעסקים במרכז,0,5,0.00%,30.8,NON_BRANDED
חדלות פירעון של חברה,0,1,0.00%,83.0,NON_BRANDED
חדלות פירעון של לקוח,0,12,0.00%,46.3,NON_BRANDED
חדשות היום פלילי,0,2,0.00%,55.5,NON_BRANDED
חדשות וינט פלילי,0,1,0.00%,36.0,NON_BRANDED
חדשות פלילי,0,28,0.00%,42.6,NON_BRANDED
חדשות פלילים היום,0,1,0.00%,67.0,NON_BRANDED
חובות הבעל לאשתו,0,2,0.00%,70.0,NON_BRANDED
חוברת נוסחי אישום,0,3,0.00%,9.0,NON_BRANDED
חובת עורך דין להליך kyc,0,1,0.00%,57.0,NON_BRANDED
"חוות דעת דין זר בארה""ב",0,3,0.00%,48.7,NON_BRANDED
חוות דעת דין זר קנדה,0,5,0.00%,62.6,NON_BRANDED
חוות דעת כלכלית מטעם אחד הצדדים בתיק,0,1,0.00%,74.0,NON_BRANDED
חוות דעת משפטית לדוגמא,0,3,0.00%,45.0,NON_BRANDED
חוות דעת על עורכי דין,0,1,0.00%,10.0,NON_BRANDED
חוות+דעת+משפטית+נדל״ן,0,2,0.00%,67.5,NON_BRANDED
חוות+דעת+שנייה+לפני+חתימה,0,1,0.00%,99.0,NON_BRANDED
חוזה 587,0,2,0.00%,32.5,NON_BRANDED
חוזה אישי בשירות המדינה,0,1,0.00%,27.0,NON_BRANDED
חוזה אקדמאים 587,0,1,0.00%,54.0,NON_BRANDED
חוזה בנייה עם קבלן,0,2,0.00%,50.0,NON_BRANDED
חוזה גירושין לדוגמא,0,1,0.00%,65.0,NON_BRANDED
חוזה דירה,0,1,0.00%,45.0,NON_BRANDED
חוזה השכרת דירה,0,2,0.00%,81.0,NON_BRANDED
חוזה השכרת קרקע חקלאית,0,2,0.00%,80.0,NON_BRANDED
חוזה השכרת רכב,0,49,0.00%,43.6,NON_BRANDED
חוזה חכירה מה זה,0,2,0.00%,89.5,NON_BRANDED
חוזה לדירה להשכרה,0,1,0.00%,32.0,NON_BRANDED
חוזה לשכירות,0,1,0.00%,65.0,NON_BRANDED
חוזה לשכר דירה,0,1,0.00%,67.0,NON_BRANDED
חוזה מול קבלן,0,4,0.00%,25.3,NON_BRANDED
חוזה מומחים בשירות המדינה,0,1,0.00%,34.0,NON_BRANDED
חוזה ניהול נכסים,0,6,0.00%,43.7,NON_BRANDED
חוזה עבודה פרילנסר,0,1,0.00%,96.0,NON_BRANDED
חוזה עסקי,0,5,0.00%,26.8,NON_BRANDED
חוזה פרילנס,0,1,0.00%,39.0,NON_BRANDED
חוזה רכישה מקבלן,0,1,0.00%,20.0,NON_BRANDED
"חוזה רכישת נדל""ן בפורטוגל",0,1,0.00%,73.0,NON_BRANDED
חוזה רכישת נדל״ן בפורטוגל,0,1,0.00%,50.0,NON_BRANDED
חוזה שכירות,0,127,0.00%,66.7,NON_BRANDED
חוזה שכירות בית,0,1,0.00%,62.0,NON_BRANDED
חוזה שכירות דירה,0,32,0.00%,71.0,NON_BRANDED
חוזה שכירות דירה לטווח קצר,0,2,0.00%,89.5,NON_BRANDED
חוזה שכירות דירה ללא תמורה,0,1,0.00%,57.0,NON_BRANDED
חוזה שכירות הלכתי,0,1,0.00%,54.0,NON_BRANDED
חוזה שכירות חדר בדירה,0,1,0.00%,48.0,NON_BRANDED
חוזה שכירות לבן משפחה,0,1,0.00%,39.0,NON_BRANDED
חוזה שכירות לטובת המשכיר,0,1,0.00%,89.0,NON_BRANDED
חוזה שכירות לטובת השוכר,0,1,0.00%,99.0,NON_BRANDED
חוזה שכירות לטווח ארוך,0,1,0.00%,27.0,NON_BRANDED
חוזה שכירות ללא תמורה,0,4,0.00%,37.0,NON_BRANDED
חוזה שכירות משנה,0,26,0.00%,28.0,NON_BRANDED
חוזה שכירות משנית,0,1,0.00%,48.0,NON_BRANDED
חוזה שכירות סטנדרטי להורדה חינם,0,1,0.00%,83.0,NON_BRANDED
חוזה שכירות פיקטיבי,0,1,0.00%,69.0,NON_BRANDED
חוזה שכירות רגיל,0,2,0.00%,83.5,NON_BRANDED
חוזה שכר דירה,0,4,0.00%,67.0,NON_BRANDED
חוזה של שכירות,0,2,0.00%,68.0,NON_BRANDED
חוזי שכירות,0,5,0.00%,34.4,NON_BRANDED
חוזים אישיים בשירות המדינה,0,4,0.00%,19.3,NON_BRANDED
חולי קורונה בבית,0,1,0.00%,98.0,NON_BRANDED
חולשה פתאומית בגוף קורונה,0,1,0.00%,72.0,NON_BRANDED
חוסר חמצן בלידה,0,199,0.00%,22.5,NON_BRANDED
חוק בית המשפט,0,4,0.00%,38.3,NON_BRANDED
חוק בתי המשפט,0,14,0.00%,39.6,NON_BRANDED
חוק בתי המשפט נוסח משולב,0,3,0.00%,33.0,NON_BRANDED
חוק בתי משפט,0,4,0.00%,43.3,NON_BRANDED
חוק דיני עבודה,0,26,0.00%,59.2,NON_BRANDED
חוק הבניה,0,1,0.00%,66.0,NON_BRANDED
חוק הבניה והתכנון,0,1,0.00%,92.0,NON_BRANDED
חוק הגבלת שכר טרחה ביטוח לאומי נבו,0,1,0.00%,82.0,NON_BRANDED
חוק הגנת הפרטיות פיצוי ללא הוכחת נזק,0,7,0.00%,49.3,NON_BRANDED
חוק הודעה מוקדמת,0,12,0.00%,46.7,NON_BRANDED
חוק הודעה מוקדמת להתפטרות,0,3,0.00%,54.7,NON_BRANDED
חוק הודעה מוקדמת לעובד,0,1,0.00%,53.0,NON_BRANDED
חוק הודעה מוקדמת לפיטורים,0,3,0.00%,41.0,NON_BRANDED
חוק הודעה מוקדמת לפיטורים ולהתפטרות,0,3,0.00%,33.0,NON_BRANDED
חוק הודעה מוקדמת לפיטורין,0,1,0.00%,48.0,NON_BRANDED
חוק הותמל,0,6,0.00%,45.5,NON_BRANDED
חוק הירושה ידועים בציבור,0,1,0.00%,82.0,NON_BRANDED
חוק העונשין pdf,0,3,0.00%,37.3,NON_BRANDED
חוק העונשין תשל ז 1977,0,1,0.00%,35.0,NON_BRANDED
חוק הפיצויים לנפגעי תאונות דרכים,0,4,0.00%,79.5,NON_BRANDED
חוק השב כ,0,2,0.00%,64.5,NON_BRANDED
חוק השכרת דירה,0,2,0.00%,80.5,NON_BRANDED
חוק התפטרות,0,1,0.00%,64.0,NON_BRANDED
חוק התראה מוקדמת,0,1,0.00%,59.0,NON_BRANDED
חוק זכויות החולה,0,23,0.00%,64.7,NON_BRANDED
חוק זכויות החולה רשומה רפואית,0,2,0.00%,64.0,NON_BRANDED
חוק חוזה הביטוח inurl:nevo.co.il/law_html/,0,2,0.00%,5.5,NON_BRANDED
חוק חוזה שכירות,0,1,0.00%,64.0,NON_BRANDED
חוק יחסי עובד מעביד,0,1,0.00%,59.0,NON_BRANDED
חוק ייפוי כוח מתמשך,0,6,0.00%,38.3,NON_BRANDED
חוק יסוד השפיטה,0,2,0.00%,38.5,NON_BRANDED
חוק יסוד השפיטה נבו,0,2,0.00%,60.0,NON_BRANDED
חוק יסוד השפיטה סעיף 15,0,1,0.00%,21.0,NON_BRANDED
חוק יסוד: השפיטה,0,1,0.00%,47.0,NON_BRANDED
חוק יסודות השפיטה,0,1,0.00%,51.0,NON_BRANDED
חוק יפוי כח מתמשך,0,2,0.00%,59.5,NON_BRANDED
חוק לפיצוי נפגעי תאונות דרכים,0,1,0.00%,45.0,NON_BRANDED
חוק מינוי שופטים,0,2,0.00%,59.0,NON_BRANDED
חוק מפעל חיוני,0,1,0.00%,45.0,NON_BRANDED
חוק משמורת ילדים,0,1,0.00%,41.0,NON_BRANDED
חוק מתחמים מועדפים לדיור,0,2,0.00%,26.0,NON_BRANDED
חוק מתן הודעה מוקדמת,0,2,0.00%,48.5,NON_BRANDED
חוק סדר הדין הפלילי הסדר מותנה,0,1,0.00%,97.0,NON_BRANDED
חוק סימון מוצרים ויקיפדיה,0,1,0.00%,41.0,NON_BRANDED
חוק פיטורים והתפטרות,0,51,0.00%,64.5,NON_BRANDED
חוק פיטורין הודעה מוקדמת,0,1,0.00%,49.0,NON_BRANDED
חוק פיצוי לנפגעי תאונות דרכים,0,2,0.00%,78.0,NON_BRANDED
חוק פיצויים לנפגעי תאונות דרכים,0,8,0.00%,72.1,NON_BRANDED
חוק פיצויים לנפגעי תאונות דרכים inurl:nevo.co.il/law_html/,0,1,0.00%,7.0,NON_BRANDED
"חוק רישוי שירותים ומקצועות בענף הרכב תשע""ו-2016",0,1,0.00%,62.0,NON_BRANDED
חוק רשלנות רפואית,0,80,0.00%,40.9,NON_BRANDED
חוק שירות בטחון,0,3,0.00%,28.0,NON_BRANDED
חוק שירות בטחוןמ,0,5,0.00%,26.8,NON_BRANDED
חוק שירות ביטחון,0,7,0.00%,26.3,NON_BRANDED
חוק שירות המדינה,0,1,0.00%,40.0,NON_BRANDED
חוק שירות המדינה מינויים,0,4,0.00%,43.5,NON_BRANDED
חוק תושב חוזר,0,1,0.00%,80.0,NON_BRANDED
חוק תכנון ובנייה,0,3,0.00%,51.3,NON_BRANDED
חוקי בנייה,0,1,0.00%,24.0,NON_BRANDED
חוקי גירושים,0,15,0.00%,42.2,NON_BRANDED
חוקי גירושין,0,7,0.00%,84.9,NON_BRANDED
חוקי דיני עבודה,0,3,0.00%,63.0,NON_BRANDED
חוקי הקורונה,0,1,0.00%,69.0,NON_BRANDED
חוקי חזקות חיבור בסיסים זהים,0,1,0.00%,97.0,NON_BRANDED
חוקי מכס,0,1,0.00%,60.0,NON_BRANDED
חוקי תכנון ובניה,0,27,0.00%,38.0,NON_BRANDED
חוקים בדיני עבודה,0,5,0.00%,71.0,NON_BRANDED
חוקר פרטי מחיר גלובלי,0,1,0.00%,41.0,NON_BRANDED
חוקר פרטי פגיעה מינית,0,1,0.00%,85.0,NON_BRANDED
חותמת אפוסטיל תעודת לידה,0,1,0.00%,97.0,NON_BRANDED
חזי סימן טוב ואשתו,0,1,0.00%,62.0,NON_BRANDED
חזקת הגיל הרך בית דין רבני,0,51,0.00%,16.4,NON_BRANDED
חזרת ילדים למוסדות חינוך,0,1,0.00%,38.0,NON_BRANDED
חזרתה או חזרת,0,1,0.00%,2.0,NON_BRANDED
