full_name,entity_type,practice_areas,office_address,city,phone,website,guide_code,guide_practice_label,rank_tier,rank_label_raw,rank_year,source_url,notes
"EBN - ארדינסט, בן נתן, טולידאנו",firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
HLB הררי-ליפשיץ ובביש,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אהוד שילוני ושות' משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אפרת דויטש ושות' משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"אריאל שמר, גוטרמן גלמן ושות' משרד עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ארנה לין ושות' משרד עורכות דין,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
בטי מצר לוי | רוית קרן-רוזין משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
בכר שבתאי - משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"בנימין (בני) מ. כהן ושות', משרד עורכי-דין",firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
בשה זבידה ושות',firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"גדעון רובין ושות', עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גולדפרב גרוס זליגמן,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גורניצקי ושות',firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
דפנה שמואלביץ ושות' - משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"הולין-הדס, עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
הרצוג פוקס נאמן,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"יאיר דוד, משרד עורכי דין ונוטריון",firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מיתר | עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"נ. פינברג ושות', עו""ד",firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
נשיץ ברנדס אמיר ושות',firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
סיגל פעיל ושות',firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פירון משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פישר (.FBC & Co),firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ש. הורוביץ,firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שבלת ושות',firm,דיני עבודה,,,,,G1,דיני עבודה,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אגמון עם טולצ'ינסקי,firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"אלעד מורג, משרד עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ארנון, תדמור-לוי",firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"בן ארי פיש, עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
בן נתן ושות' משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ברנע ג'פה לנדה,firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
דרור גל- רעות שגיב משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"וקסלר, ברגמן ושות'",firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
זילוני - קליינמן לולצ'י,firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"כפיר זאב, משרד עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ליפא ושות',firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מרדכי לוין - משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
סלומון ליפשיץ ושות',firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"עמית, פולק, מטלון",firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ענת בש, משרד עורכי-דין",firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פרל כהן צדק לצר ברץ,firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ש. פרידמן, אברמזון ושות'",firm,דיני עבודה,,,,,G1,דיני עבודה,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
AYR - עמר רייטר ז'אן שוכטוביץ ושות',firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"FWMK פירט, וילנסקי, מזרחי, כנעני - עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
GT גרינברג טראוריג,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"אורנה שמריהו - משרד עו""ד",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"אזולאי-רגב, משרד עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
איריס אלמוג משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"אסתי נדל, עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"אשר אביטן ושות', משרד עו""ד",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אתי אבנרי - משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
בונר רזגור עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"בלאו, אהרן-מועלם ושות'",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"בלטר, גוט, אלוני ושות' - עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
הוניגמן אילה - עריכת דין,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"טל, קדרי, שמיר ושות' עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
יובל ברוק משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"לוי-אטינגר, נקדימון ושות' - משרד עו""ד ונוטריון",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"מטרי, מאירי, וכט ושות' עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
משרד עורכי דין דוד בכור,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"נעמי לנדאו ושות', חברת עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"עדי קפלן ושות', עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
עפר דקל ושות' - משרד עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פבל מורוז חברת עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"צורף ושות', עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"קובי חתן, משרד עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
קומיסר ושות',firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
קטן בר-טל טלמור - משרד עורכי דין ומגשרים,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"קרן זיו ושות', משרד עורכי דין",firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שי קרבצקי - חברת עורכי דין,firm,דיני עבודה,,,,,G1,דיני עבודה,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_עבודה,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"אבי פינרסקי, משרד עורכי דין",firm,דיני צבא ובטחון,,,,,G1,דיני צבא ובטחון,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_צבא_ובטחון,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
נחמני - בר -משרד עורכות ועורכי דין,firm,דיני צבא ובטחון,,,,,G1,דיני צבא ובטחון,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_צבא_ובטחון,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"סבוראי, האוזמן - משרד עורכי דין",firm,דיני צבא ובטחון,,,,,G1,דיני צבא ובטחון,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_צבא_ובטחון,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
קגן ושות' עורכי דין,firm,דיני צבא ובטחון,,,,,G1,דיני צבא ובטחון,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_צבא_ובטחון,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"רן כהן רוכברגר, משרד עורכי דין",firm,דיני צבא ובטחון,,,,,G1,דיני צבא ובטחון,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_צבא_ובטחון,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"הולי שוורץ, משרד עו""ד",firm,דיני צבא ובטחון,,,,,G1,דיני צבא ובטחון,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_צבא_ובטחון,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ליקול טמסוט, משרד עורכי דין ונוטריון",firm,דיני צבא ובטחון,,,,,G1,דיני צבא ובטחון,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_צבא_ובטחון,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"שי, יוספזון ושות'-משרד עו""ד",firm,דיני צבא ובטחון,,,,,G1,דיני צבא ובטחון,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/דיני_צבא_ובטחון,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"דקר, פקס, לוי",firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
דרדיק גרוס ושות',firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
הרצוג פוקס נאמן,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
ורשה וייצן עורכי דין,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
זרי חזן ושות',firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"יאיר דוד, משרד עורכי דין ונוטריון",firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מיתר | עורכי דין,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מתן חודורוב משרד עורכי דין,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פישר (.FBC & Co),firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
קן-תור עכו,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גולדפרב גרוס זליגמן,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"טל פרושן, משרד עו""ד ונוטריון",firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פירון משרד עורכי דין,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שבלת ושות',firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שיר משרד עורכי דין,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
שקמה אהרון דוד משרד עורכי דין,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,2,בולטים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ג׳ולי דניאל - דוד פאל, משרד עורכי דין",firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
דוד ידיד משרד עורכי דין ונוטריון,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
הראל נבון עורכי דין,firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"וייס, פורת ושות'",firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ליאורה טורלבסקי, משרד עורכי דין",firm,הגירה ואזרחות,,,,,G1,הגירה ואזרחות,3,ידועים,2026,https://www.duns100.co.il/rating/עורכי_דין/הגירה_ואזרחות,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
AYR - עמר רייטר ז'אן שוכטוביץ ושות',firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"EBN - ארדינסט, בן נתן, טולידאנו",firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"FWMK פירט, וילנסקי, מזרחי, כנעני - עורכי דין",firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
אגמון עם טולצ'ינסקי,firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"ארנון, תדמור-לוי",firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גולדפרב גרוס זליגמן,firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
גורניצקי ושות',firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
הירש-פלק ושות',firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
הרצוג פוקס נאמן,firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
מיתר | עורכי דין,firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
נשיץ ברנדס אמיר ושות',firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
"עמית, פולק, מטלון",firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פישר (.FBC & Co),firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
פרל כהן צדק לצר ברץ,firm,הייטק,,,,,G1,הייטק,1,מובילים,2026,https://www.duns100.co.il/rating/עורכי_דין/הייטק,"TODO-VERIFY address, city, phone and website against the guide profile or the entity's official contact page"
