decision_id,source_row_id,decision_type,priority,current_url_or_reference,target_or_hub,role_or_topic,recommended_owner_decision,owner_decision_status,upload_readiness,gsc_risk,gsc_clicks,gsc_impressions,minimum_before_action,blocked_public_actions,next_step,notes
MEDMAL-OWNER-DECISION-037,MEDD-037,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/cerebral-palsy/,https://jus-tice.co.il/medical-malpractice-lawyer/,cerebral palsy birth malpractice,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,21,7104,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Connect carefully without implying every cerebral palsy case is malpractice
MEDMAL-OWNER-DECISION-038,MEDD-038,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/what-is-medical-malpractice-definition-examples/,https://jus-tice.co.il/medical-malpractice-lawyer/,what counts as medical malpractice,KEEP_INFORMATIONAL_SUPPORT_IF_UNIQUE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,0,4998,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Needs merge review; useful top-of-funnel explainer
MEDMAL-OWNER-DECISION-039,MEDD-039,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/malpractice-cerebral-palsy/,https://jus-tice.co.il/medical-malpractice-lawyer/,malpractice and cerebral palsy,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,0,4887,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Needs content review; overlaps with cerebral palsy page
MEDMAL-OWNER-DECISION-040,MEDD-040,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/%D7%9E%D7%A7%D7%A8%D7%99-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%9C%D7%99%D7%93%D7%94-%D7%95%D7%98%D7%99%D7%A4%D7%95%D7%9C-%D7%9E%D7%A9%D7%A4%D7%98%D7%99,https://jus-tice.co.il/medical-malpractice-lawyer/,birth malpractice case review,PROTECT_BIRTH_PREGNANCY_ROLE_THEN_SPLIT_OR_MERGE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,1,4882,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Needs content review; likely support-to-hub candidate
MEDMAL-OWNER-DECISION-041,MEDD-041,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/articles/%D7%9E%D7%A7%D7%A8%D7%99-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%93%D7%95%D7%92%D7%9E%D7%90%D7%95%D7%AA,https://jus-tice.co.il/medical-malpractice-lawyer/,medical malpractice examples,OWNER_ROLE_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,5,4642,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Examples/case-law intent should guide users to evaluation
MEDMAL-OWNER-DECISION-042,MEDD-042,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/medical-malpractice-common-errors-doctors-hospitals/,https://jus-tice.co.il/medical-malpractice-lawyer/,hospital and doctor treatment mistakes,OWNER_ROLE_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,0,4067,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Needs content review; diagnosis/treatment-error cluster
MEDMAL-OWNER-DECISION-043,MEDD-043,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/anesthesia-medical-malpractice/,https://jus-tice.co.il/medical-malpractice-lawyer/,anesthesia malpractice lawyer,KEEP_AS_SUPPORT_AFTER_SOURCE_AND_URL_REVIEW,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,2,3296,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Specific high-intent subtopic
MEDMAL-OWNER-DECISION-044,MEDD-044,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/articles/%D7%A9%D7%9B%D7%A8-%D7%98%D7%A8%D7%97%D7%94-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA,https://jus-tice.co.il/medical-malpractice-lawyer/,medical-malpractice lawyer fee,PROTECT_COST_SUPPORT_THEN_COMPARE,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,1,2985,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Pricing intent; no promises
MEDMAL-OWNER-DECISION-045,MEDD-045,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%91%D7%A0%D7%99%D7%AA%D7%95%D7%97-%D7%A4%D7%9C%D7%A1%D7%98%D7%99-%D7%94%D7%9E%D7%9C%D7%A6%D7%95%D7%AA-%D7%A2%D7%95%D7%93-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A0%D7%99%D7%AA%D7%95%D7%97-%D7%A4%D7%9C%D7%A1%D7%98%D7%99,https://jus-tice.co.il/medical-malpractice-lawyer/,plastic surgery malpractice lawyer,KEEP_AS_SUPPORT_AFTER_SOURCE_AND_URL_REVIEW,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,LOW_UNKNOWN,0,2309,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Remove/avoid recommended language before public edit
MEDMAL-OWNER-DECISION-046,MEDD-046,P0_SUPPORT_TO_HUB_MAP,P0,https://jus-tice.co.il/%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%94%D7%99%D7%AA-%D7%97%D7%95%D7%9C%D7%99%D7%9D,https://jus-tice.co.il/medical-malpractice-lawyer/,hospital malpractice claim,OWNER_ROLE_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,1,1478,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,"Protect ranking value; decide support, merge, or rewrite role before upload batch",Good support page if factual and source-backed
MEDMAL-OWNER-DECISION-047,MEDD-047,CLEAN_SLUG_ROUTE_REVIEW,P0,/birth-malpractice/,,clean birth-malpractice support slug,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,ROUTE_RISK_404_CLEAN_SLUG,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_REDIRECT_OR_ROUTE,Dead clean slug; old Hebrew birth/pregnancy page has 661 birth impressions and 419 pregnancy impressions in prior owner packet.
MEDMAL-OWNER-DECISION-048,MEDD-048,CLEAN_SLUG_ROUTE_REVIEW,P0,/pregnancy-malpractice/,,clean pregnancy-malpractice support slug,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,ROUTE_RISK_404_CLEAN_SLUG,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_REDIRECT_OR_ROUTE,Dead clean slug; pregnancy demand overlaps with old Hebrew birth page in prior GSC evidence.
MEDMAL-OWNER-DECISION-049,MEDD-049,CLEAN_SLUG_ROUTE_REVIEW,P0,/diagnosis-malpractice/,,clean diagnosis-malpractice support slug,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,ROUTE_RISK_404_CLEAN_SLUG,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_REDIRECT_OR_ROUTE,Dead clean slug; live diagnosis-specific page exists at /medical-malpractice-8271/.
MEDMAL-OWNER-DECISION-050,MEDD-050,CLEAN_SLUG_ROUTE_REVIEW,P1,/medical-malpractice-lawyer-birth-representation/,,birth representation support,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,LIVE_URL_PROTECT_OR_REVIEW,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_ROLE_CHANGE,Old URL for post 11952 resolves live here; migration map had proposed generic /medical-malpractice-lawyer/ target.
MEDMAL-OWNER-DECISION-051,MEDD-051,CLEAN_SLUG_ROUTE_REVIEW,P1,/medical-malpractice-lawyer-birth-recommended/,,recommended birth-malpractice lawyer support,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,LIVE_URL_PROTECT_OR_REVIEW,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_ROLE_CHANGE,Old URL for post 11834 resolves live here; prior GSC packet protects birth/pregnancy demand.
MEDMAL-OWNER-DECISION-052,MEDD-052,CLEAN_SLUG_ROUTE_REVIEW,P1,/birth-injury/,,birth injury parent/support,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,LIVE_URL_PROTECT_OR_REVIEW,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_CMS_EDIT,Live support page and already used in theme-owned topic links after dead link fix.
MEDMAL-OWNER-DECISION-053,MEDD-053,CLEAN_SLUG_ROUTE_REVIEW,P1,/birth-injury-lawyer/,,birth injury lawyer support/commercial boundary,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,LIVE_URL_PROTECT_OR_REVIEW,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_PROMOTION,Live page may compete with clean birth-malpractice route if promoted blindly.
MEDMAL-OWNER-DECISION-054,MEDD-054,CLEAN_SLUG_ROUTE_REVIEW,P1,/birth-injury-causes/,,birth injury causes support,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,LIVE_URL_PROTECT_OR_REVIEW,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_PROMOTION,Sensitive medical causation content; live but source/legal review needed.
MEDMAL-OWNER-DECISION-055,MEDD-055,CLEAN_SLUG_ROUTE_REVIEW,P1,/brain-damage-at-birth/,,brain damage at birth support,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,LIVE_URL_PROTECT_OR_REVIEW,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_PROMOTION,Sensitive medical causation content; live but source/legal review needed.
MEDMAL-OWNER-DECISION-056,MEDD-056,CLEAN_SLUG_ROUTE_REVIEW,P1,/medical-malpractice-8271/,,diagnosis malpractice article,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,LIVE_URL_PROTECT_OR_REVIEW,0,0,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_REDIRECT,Old diagnosis row resolves live here; possible precise equivalent for /diagnosis-malpractice/.
MEDMAL-OWNER-DECISION-057,MEDD-057,CLEAN_SLUG_ROUTE_REVIEW,P0,old row 8400 encoded pregnancy/birth URL,,pregnancy and birth malpractice,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,ROUTE_RISK_404_CLEAN_SLUG,,,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_REDIRECT,Old encoded URL returned 404; proposed target was generic /medical-malpractice-lawyer/.
MEDMAL-OWNER-DECISION-058,MEDD-058,CLEAN_SLUG_ROUTE_REVIEW,P1,old row 7964 article URL,,birth-related verdict,HOLD_CLEAN_SLUG_NO_ROUTE_OR_REDIRECT,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,LIVE_URL_PROTECT_OR_REVIEW,,,focused GSC export; owner migration approval; redirect/canonical/sitemap plan; current URL backup,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,YES_BEFORE_REDIRECT,Old article resolves to /personal-injury-verdict-judge-lawsuit-damages-claim/; proposed /birth-malpractice/ target is 404.
MEDMAL-OWNER-DECISION-059,MEDD-097,SOURCE_LEGAL_GATE,P1,https://jus-tice.co.il/medical-malpractice-lawyer/,commercial pillar,General claim-review explanation; records checklist; lawyer consultation questions; cautious expert-review framing,SOURCE_LEGAL_PRIVACY_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,HIGH,0,0,source citation review; legal/privacy review; disclaimer posture; owner approval,BLOCKED_CLAIMS=Guaranteed compensation; best/top/recommended lawyer claims; precise deadlines without legal review; medical diagnosis advice; NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Resolve duplicate same-public-URL identity and compare pillar records,sources=Ministry of Health malpractice page; Kol Zchut definition; Kol Zchut claim overview; Patient Rights Law PDF
MEDMAL-OWNER-DECISION-060,MEDD-098,SOURCE_LEGAL_GATE,P1,REFERENCE:MEDMAL-FEE-GSC-001,fee and cost support,General cost components and fee-intent support after review,SOURCE_LEGAL_PRIVACY_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,,,source citation review; legal/privacy review; disclaimer posture; owner approval,BLOCKED_CLAIMS=Fixed fee promises; no-risk language; guaranteed result; outdated price tables; NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Compare fee article against pillar and decide support/merge role,sources=Kol Zchut claim overview; State Comptroller report; owner packet GSC evidence
MEDMAL-OWNER-DECISION-061,MEDD-099,SOURCE_LEGAL_GATE,P1,REFERENCE:MEDMAL-BIRTH-HEBREW-GSC-001,birth and pregnancy malpractice,Separate birth injury pregnancy monitoring delivery management and neonatal injury intents after review,SOURCE_LEGAL_PRIVACY_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,HIGH,,,source citation review; legal/privacy review; disclaimer posture; owner approval,BLOCKED_CLAIMS=Treating poor outcomes as automatic malpractice; duplicate birth/pregnancy pages; redirecting old GSC URL early; NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Run side-by-side split/merge review,sources=Ministry of Health malpractice page; Kol Zchut definition; Kol Zchut claim overview; Patient Rights Law PDF
MEDMAL-OWNER-DECISION-062,MEDD-100,SOURCE_LEGAL_GATE,P1,/birth-injury/; /birth-injury-lawyer/; /birth-injury-causes/; /malpractice-cerebral-palsy/,birth injury and cerebral palsy support,Records/expert-review preparation; cautious support-page explanations,SOURCE_LEGAL_PRIVACY_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,HIGH,,,source citation review; legal/privacy review; disclaimer posture; owner approval,BLOCKED_CLAIMS=Unreviewed causation claims; overstatement of cerebral palsy cause; medical advice; NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Classify each as support section support page or merge candidate,sources=Ministry of Health malpractice page; Kol Zchut claim overview; second-opinion page
MEDMAL-OWNER-DECISION-063,MEDD-101,SOURCE_LEGAL_GATE,P1,/anesthesia-medical-malpractice/; /surgical-errors-medical-malpractice/; /personal-injury/medical-malpractice/surgery/,surgery anesthesia hospital error,Cautious support pages about records chronology questions and legal review,SOURCE_LEGAL_PRIVACY_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,HIGH,,,source citation review; legal/privacy review; disclaimer posture; owner approval,BLOCKED_CLAIMS=Saying complication equals negligence; surgical-risk medical advice; nested URL migration without plan; NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Prepare surgery/anesthesia support comparison,sources=Ministry of Health malpractice page; second-opinion page; Patient Rights Law PDF
MEDMAL-OWNER-DECISION-064,MEDD-102,SOURCE_LEGAL_GATE,P1,/what-is-medical-malpractice-definition-examples/; /medical-malpractice-common-errors-doctors-hospitals/; /medical-malpractice-vs-negligence-differences-israel/,definition common errors diagnosis,Concept definitions and warning-sign examples as informational support,SOURCE_LEGAL_PRIVACY_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,,,source citation review; legal/privacy review; disclaimer posture; owner approval,BLOCKED_CLAIMS=Final legal tests without review; duplicate commercial intent; unsupported examples; NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Map informational pages to support role under pillar,sources=Kol Zchut definition; Kol Zchut claim overview; Ministry of Health malpractice page
MEDMAL-OWNER-DECISION-065,MEDD-103,SOURCE_LEGAL_GATE,P0,cluster-wide,records evidence expert opinion privacy,General records and chronology checklist; privacy warning; secure-intake requirements,SOURCE_LEGAL_PRIVACY_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,VERY_HIGH,,,source citation review; legal/privacy review; disclaimer posture; owner approval,BLOCKED_CLAIMS=Unsecured sensitive file submission; publishing health details in reviews; absolute expert-opinion claims; NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Add privacy gate before lead/review implementation,sources=Patient Rights Law PDF; Ministry of Health medical-record inspection PDF; second-opinion page; Kol Zchut claim overview
MEDMAL-OWNER-DECISION-066,MEDD-104,SOURCE_LEGAL_GATE,P1,REFERENCE:MEDMAL-REPORT-LARGE-001,system background report content,System context and report citations with date/source framing,SOURCE_LEGAL_PRIVACY_REVIEW_REQUIRED,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,MEDIUM,,,source citation review; legal/privacy review; disclaimer posture; owner approval,BLOCKED_CLAIMS=Marketing exaggeration; using report as pillar by word count; copying report text; NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Review source/copyright/indexation before reuse,sources=Gov.il malpractice committee; State Comptroller report
MEDMAL-OWNER-DECISION-067,MEDD-167,CONTENT_INVENTORY_AUDIT,P0,http://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A0%D7%A4%D7%92%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%93%D7%A2-%D7%90%D7%A9%D7%A4%D7%95%D7%96%D7%95-%D7%A9%D7%9C-%D7%A0%D7%90%D7%A9%D7%9D-%D7%91%D7%91%D7%99%D7%AA-%D7%97%D7%95%D7%9C%D7%99%D7%9D/,,טופס בקשת נפגע עבירה לקבלת מידע על מהלך אשפוזו של נאשם בבית חולים,REMOVE_OR_RECLASSIFY_BEFORE_UPLOAD_PLANNING,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN,,,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Remove or reclassify from medical-malpractice cluster before upload planning,word_count=150; thin=True; duplicate=False; rewrite=True; merge=False; PUBLIC_REST_HEURISTIC_V1;cluster=medical-malpractice;traffic_risk=UNKNOWN
MEDMAL-OWNER-DECISION-068,MEDD-239,URL_MIGRATION_MAP,P1,http://jus-tice.co.il/%D7%91%D7%A7%D7%A9%D7%AA-%D7%A0%D7%A4%D7%92%D7%A2-%D7%A2%D7%91%D7%99%D7%A8%D7%94-%D7%9E%D7%99%D7%93%D7%A2-%D7%90%D7%A9%D7%A4%D7%95%D7%96%D7%95-%D7%A9%D7%9C-%D7%A0%D7%90%D7%A9%D7%9D-%D7%91%D7%91%D7%99%D7%AA-%D7%97%D7%95%D7%9C%D7%99%D7%9D/,,טופס בקשת נפגע עבירה לקבלת מידע על מהלך אשפוזו של נאשם בבית חולים,REMOVE_OR_RECLASSIFY_BEFORE_UPLOAD_PLANNING,PENDING_OWNER_DECISION,NOT_APPROVED_FOR_UPLOAD,UNKNOWN,UNKNOWN,UNKNOWN,owner approval; focused GSC export; source/legal review; WordPress editor/database backup before CMS execution,NO_CMS_EDIT; NO_PUBLIC_UPLOAD; NO_REDIRECT; NO_CANONICAL_NOINDEX; NO_SITEMAP_CHANGE; NO_TAXONOMY_CHANGE,Fix cluster assignment before using in migration decisions,PUBLIC_REST_URL_MAP_V1;NO_URL_CHANGE_EXECUTED
