query,clicks_12m,impressions_12m,ctr_12m,position_12m,ranking_page_count,top_page,top_page_clicks,competing_pages,cannibalization_flag,branded_flag,money_keyword_flag
הרשם לענייני ירושה תיקים,0,1,0.00%,49.0,1,https://jus-tice.co.il/articles/%D7%AA%D7%A2-45543-11-21-%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%A6%D7%95-%D7%A7%D7%99%D7%95%D7%9D-%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%9C%D7%90%D7%97%D7%A8-%D7%92%D7%99/,0,,FALSE,FALSE,FALSE
הרשם לעניני ירושה,0,2,0.00%,29.5,2,https://jus-tice.co.il/inheritance-order/,0,https://jus-tice.co.il/inheritance/,TRUE,FALSE,FALSE
הרשמה כידועים בציבור,0,1,0.00%,67.0,1,https://jus-tice.co.il/living-apart-together-legal-rights/,0,,FALSE,FALSE,FALSE
הרשמה ללשכת העבודה,0,1,0.00%,83.0,1,https://jus-tice.co.il/spain-lawyers/,0,,FALSE,FALSE,FALSE
הרשמה למבחן המתווכים 2018,0,16,0.00%,54.3,2,https://jus-tice.co.il/20847-10-23/,0,https://jus-tice.co.il/real-estate-agent/,TRUE,FALSE,FALSE
הרשעה,0,136,0.00%,46.1,1,https://jus-tice.co.il/psakdin/%D7%A9%D7%99%D7%A2%D7%95%D7%A8%D7%99-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%95%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%91%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%99%D7%9D/,0,,FALSE,FALSE,FALSE
הרשעה מקסימלית,0,5,0.00%,72.2,2,https://jus-tice.co.il/psakdin/%D7%A9%D7%99%D7%A2%D7%95%D7%A8%D7%99-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%95%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%91%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%99%D7%9D/,0,https://jus-tice.co.il/us-law-aggravating-factors-in-criminal-sentences/,TRUE,FALSE,FALSE
הרשעה עורך דין,0,199,0.00%,69.1,7,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,0,https://jus-tice.co.il/%D7%9E%D7%A9%D7%A8%D7%93-%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%94%D7%9B%D7%99-%D7%98%D7%95%D7%91-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/ | https://jus-tice.co.il/articles/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%9E%D7%A9%D7%A4%D7%98-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%91%D7%99%D7%A0%D7%9C%D7%90%D7%95%D7%9E%D7%99/ | https://jus-tice.co.il/criminal-defense-attorney/,TRUE,FALSE,TRUE
הרשעה פירוש,0,7,0.00%,36.7,1,https://jus-tice.co.il/psakdin/%D7%A9%D7%99%D7%A2%D7%95%D7%A8%D7%99-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%95%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%91%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%99%D7%9D/,0,,FALSE,FALSE,FALSE
הרשעה פלילית,0,225,0.00%,91.0,2,https://jus-tice.co.il/criminal-law/,0,https://jus-tice.co.il/psakdin/%D7%A9%D7%99%D7%A2%D7%95%D7%A8%D7%99-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%95%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%91%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%99%D7%9D/,TRUE,FALSE,FALSE
הרשעה פלילית עורך דין,0,293,0.00%,49.6,10,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,0,https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94-%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%AA-%D7%99%D7%A2%D7%99%D7%9C%D7%94-%D7%9E%D7%96%D7%A8%D7%97-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%91%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%91%D7%AA%D7%90-%D7%95%D7%94%D7%9E%D7%A8%D7%9B%D7%96/ | https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%99%D7%9D-%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%9E%D7%93%D7%99%D7%94-%D7%A1%D7%A8%D7%98%D7%99%D7%9D-%D7%95%D7%98%D7%9C%D7%95%D7%95%D7%99%D7%96%D7%99%D7%94/,TRUE,FALSE,TRUE
הרשעות,0,12,0.00%,79.7,1,https://jus-tice.co.il/psakdin/%D7%A9%D7%99%D7%A2%D7%95%D7%A8%D7%99-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%95%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%91%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%99%D7%9D/,0,,FALSE,FALSE,FALSE
הרשעות שווא בישראל,0,1,0.00%,94.0,1,https://jus-tice.co.il/psakdin/%D7%94%D7%92%D7%91%D7%9C%D7%94-%D7%A2%D7%9C-%D7%9E%D7%A1%D7%99%D7%A8%D7%AA-%D7%9E%D7%99%D7%93%D7%A2-%D7%9E%D7%94%D7%9E%D7%A8%D7%A9%D7%9D-%D7%94%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%95%D7%A7%D7%99%D7%A6%D7%95%D7%A8-%D7%AA%D7%A7%D7%95%D7%A4%D7%AA-%D7%94%D7%A8%D7%99%D7%A9%D7%95%D7%9D/,0,,FALSE,FALSE,FALSE
הרשעת חפים מפשע בישראל ובעולם,0,49,0.00%,92.1,3,https://jus-tice.co.il/best-criminal-defence-lawyers-worldwide/,0,https://jus-tice.co.il/economic-crimes-white-collar-lawyer/ | https://jus-tice.co.il/india-lawyers/,TRUE,FALSE,FALSE
השאלת ציוד רפואי חדרה,0,1,0.00%,41.0,1,https://jus-tice.co.il/%D7%A4%D7%99%D7%A6%D7%95%D7%99-%D7%92%D7%91%D7%95%D7%94%D7%94-%D7%AA%D7%90%D7%95%D7%A0%D7%AA-%D7%93%D7%A8%D7%9B%D7%99%D7%9D-%D7%97%D7%91%D7%A8%D7%AA-%D7%91%D7%99%D7%98%D7%95%D7%97/,0,,FALSE,FALSE,FALSE
השארת ילד ללא השגחה,0,22,0.00%,66.0,1,https://jus-tice.co.il/punishment-of-parents-and-relatives-for-negligently-causing-death/,0,,FALSE,FALSE,FALSE
השארת ילד ללא השגחה חוק,0,94,0.00%,44.6,1,https://jus-tice.co.il/punishment-of-parents-and-relatives-for-negligently-causing-death/,0,,FALSE,FALSE,FALSE
השארת תלמיד כיתה,0,1,0.00%,24.0,1,https://jus-tice.co.il/israel-framework-for-reopening-schools-coronavirus-2020/,0,,FALSE,FALSE,FALSE
השבחת הקרקע,0,49,0.00%,80.0,1,https://jus-tice.co.il/real-estate-development/,0,,FALSE,FALSE,FALSE
השבחת זרע הלכה,0,7,0.00%,57.0,1,https://jus-tice.co.il/%D7%90%D7%97%D7%A8%D7%99%D7%95%D7%AA-%D7%94%D7%91%D7%A2%D7%9C-%D7%9C%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%90%D7%A9%D7%AA%D7%95-%D7%A2%D7%9C-%D7%A4%D7%99-%D7%93%D7%99%D7%9F-%D7%AA%D7%95%D7%A8%D7%94-%D7%95%D7%A2%D7%9C-%D7%A4%D7%99-%D7%97%D7%95%D7%A7-%D7%99%D7%97%D7%A1%D7%99-%D7%9E%D7%9E%D7%95%D7%9F-%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%91%D7%95%D7%AA-%D7%91%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA-%D7%99%D7%97%D7%A1%D7%99%D7%9D-%D7%A9%D7%91%D7%94-%D7%94%D7%90%D7%99%D7%A9%D7%94-%D7%94%D7%99%D7%90-%D7%94%D7%9E%D7%A4%D7%A8%D7%A0%D7%A1%D7%AA/,0,,FALSE,FALSE,FALSE
השבחת נכס לפני מכירה,0,19,0.00%,86.6,1,https://jus-tice.co.il/%D7%90%D7%99%D7%9A-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%96%D7%95%D7%9C-%D7%95%D7%9C%D7%94%D7%A8%D7%95%D7%95%D7%99%D7%97/,0,,FALSE,FALSE,FALSE
השבחת נכסים בארצות הברית,0,1,0.00%,94.0,1,https://jus-tice.co.il/real-estate-usa/,0,,FALSE,FALSE,FALSE
השבחת קרקעות,0,6,0.00%,92.0,1,https://jus-tice.co.il/real-estate-development/,0,,FALSE,FALSE,FALSE
השביתו לי את חשבון האינסטגרם,0,55,0.00%,48.6,1,https://jus-tice.co.il/%D7%AA%D7%90-63470-05-19-%D7%96%D7%95%D7%94%D7%A8-%D7%95%D7%90%D7%97-%D7%A0-facebook-inc-%D7%95%D7%90%D7%97-23-%D7%9C%D7%90%D7%95%D7%92%D7%95%D7%A1%D7%98-2021/,0,,FALSE,FALSE,FALSE
השבת אזרחות ישראלית לאחר ויתור,0,3,0.00%,97.7,1,https://jus-tice.co.il/liechtenstein/,0,,FALSE,FALSE,FALSE
השבת אזרחות רומנית,0,75,0.00%,28.8,1,https://jus-tice.co.il/romanian-passport/,0,,FALSE,FALSE,FALSE
השבת רישיון נשק,0,82,0.00%,72.8,1,https://jus-tice.co.il/%D7%A6%D7%95-%D7%91%D7%99%D7%AA-%D7%9E%D7%A9%D7%A4%D7%98-%D7%9C%D7%94%D7%A9%D7%91%D7%AA-%D7%A0%D7%A9%D7%A7-%D7%90%D7%99%D7%A9%D7%99/,0,,FALSE,FALSE,FALSE
השבת רכוש ניצולי שואה,0,1,0.00%,91.0,1,https://jus-tice.co.il/wp-content/uploads/2023/05/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%94%D7%A9%D7%91%D7%AA-%D7%A8%D7%9B%D7%95%D7%A9-%D7%99%D7%94%D7%95%D7%93%D7%99-%D7%A8%D7%95%D7%9E%D7%A0%D7%99%D7%94.pdf,0,,FALSE,FALSE,FALSE
השבתה מנהלית של רכב,0,56,0.00%,86.7,2,https://jus-tice.co.il/psakdin/%D7%97%D7%99%D7%9C%D7%95%D7%98-%D7%A8%D7%9B%D7%91-%D7%9E%D7%96%D7%A8%D7%90%D7%98%D7%99-%D7%A2%D7%91%D7%99%D7%A8%D7%94-%D7%A9%D7%9C-%D7%A0%D7%94%D7%99%D7%92%D7%94-%D7%91%D7%96%D7%9E%D7%9F-%D7%A4/,0,https://jus-tice.co.il/wp-content/uploads/2020/01/hana_v9.32.88s.pdf,TRUE,FALSE,FALSE
השגה על שומת מס הכנסה,0,1,0.00%,91.0,1,https://jus-tice.co.il/israel-tax-authority/,0,,FALSE,FALSE,FALSE
השגה על שומת מס רכישה,0,15,0.00%,90.9,1,https://jus-tice.co.il/39040-09-22/,0,,FALSE,FALSE,FALSE
השגה על שומת מע מ,0,3,0.00%,63.7,1,https://jus-tice.co.il/israel-tax-authority/,0,,FALSE,FALSE,FALSE
"השגה על שומת מע""מ",0,2,0.00%,63.5,1,https://jus-tice.co.il/israel-tax-authority/,0,,FALSE,FALSE,FALSE
השגות וערעורי שומה,0,18,0.00%,90.7,1,https://jus-tice.co.il/wp-content/uploads/2019/03/%D7%91%D7%99%D7%94%D7%93-%D7%94%D7%90%D7%A8%D7%A6%D7%99-%D7%9C%D7%A2%D7%91%D7%95%D7%93%D7%94-%D7%94%D7%A8%D7%9B%D7%91-%D7%94%D7%A0%D7%A9%D7%99%D7%90-%D7%99%D7%92%D7%90%D7%9C-%D7%A4%D7%9C%D7%99%D7%98%D7%9E%D7%9F-%D7%A4%D7%A1%D7%93-%D7%91%D7%A2%D7%A0%D7%99%D7%99%D7%9F-%D7%94%D7%90%D7%A8%D7%9B%D7%AA-%D7%9E%D7%95%D7%A2%D7%93-%D7%9C%D7%A2%D7%A8%D7%A2%D7%95%D7%A8-%D7%A2%D7%9C-%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA-%D7%95%D7%A2%D7%93%D7%95%D7%AA-%D7%A2%D7%A8%D7%A8-%D7%95%D7%92%D7%95%D7%A4%D7%99%D7%9D-%D7%90%D7%97%D7%A8%D7%99%D7%9D.pdf,0,,FALSE,FALSE,FALSE
השגרירות הגרמנית חידוש דרכון,0,293,0.00%,39.9,2,https://jus-tice.co.il/german-passport/,0,https://jus-tice.co.il/hong-kong-lawyer/,TRUE,FALSE,FALSE
השגרירות הרומנית,0,1,0.00%,39.0,1,https://jus-tice.co.il/romanian-passport/,0,,FALSE,FALSE,FALSE
השגת אזרחות ליטאית,0,1,0.00%,91.0,1,https://jus-tice.co.il/,0,,FALSE,FALSE,FALSE
השגת אישור תושב חוזר,0,128,0.00%,51.5,1,https://jus-tice.co.il/returning-resident-rights-determining-tax-rate/,0,,FALSE,FALSE,FALSE
השגת הסדרי טיעון מקלים,0,6,0.00%,82.5,2,https://jus-tice.co.il/%D7%93%D7%A8%D7%A2%D7%99-%D7%92%D7%96%D7%A8-%D7%93%D7%99%D7%9F-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%A1-%D7%94%D7%A1%D7%93%D7%A8-%D7%98%D7%99%D7%A2%D7%95%D7%9F/,0,https://jus-tice.co.il/psakdin/%D7%A9%D7%99%D7%A2%D7%95%D7%A8%D7%99-%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%95%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%91%D7%94%D7%9C%D7%99%D7%9B%D7%99%D7%9D-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%99%D7%9D/,TRUE,FALSE,FALSE
השגת הסרי טיעון מקלים,0,3,0.00%,87.0,1,https://jus-tice.co.il/%D7%93%D7%A8%D7%A2%D7%99-%D7%92%D7%96%D7%A8-%D7%93%D7%99%D7%9F-%D7%A2%D7%91%D7%99%D7%A8%D7%95%D7%AA-%D7%9E%D7%A1-%D7%94%D7%A1%D7%93%D7%A8-%D7%98%D7%99%D7%A2%D7%95%D7%9F/,0,,FALSE,FALSE,FALSE
השגת ראיות,0,4,0.00%,75.8,1,https://jus-tice.co.il/%D7%94%D7%A0%D7%97%D7%99%D7%95%D7%AA-%D7%A4%D7%A8%D7%A7%D7%9C%D7%99%D7%98-%D7%94%D7%9E%D7%93%D7%99%D7%A0%D7%94-%D7%94%D7%A0%D7%97%D7%99%D7%94-%D7%9E%D7%A1%D7%A4%D7%A8-13/,0,,FALSE,FALSE,FALSE
השגת ראיות לתביעה,0,29,0.00%,66.4,2,https://jus-tice.co.il/%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%A0%D7%90%D7%A9%D7%9D-%D7%91%D7%A9%D7%9C-%D7%A4%D7%A1%D7%99%D7%9C%D7%AA-%D7%A8%D7%90%D7%99%D7%94-%D7%A2%D7%A7%D7%91-%D7%97%D7%99%D7%A4%D7%95%D7%A9-%D7%91%D7%9C%D7%AA%D7%99-%D7%97%D7%95%D7%A7%D7%99/,0,https://jus-tice.co.il/should-i-admit-guilt-to-my-criminal-defense-attorney/,TRUE,FALSE,FALSE
השהות,0,4,0.00%,73.0,1,https://jus-tice.co.il/1360470/5/,0,,FALSE,FALSE,FALSE
השהיית גמירה,0,4,0.00%,70.8,1,https://jus-tice.co.il/%D7%A4%D7%A1%D7%93-%D7%93%D7%97%D7%99%D7%99%D7%AA-%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%A6%D7%95-%D7%99%D7%A8%D7%95%D7%A9%D7%94-%D7%91%D7%92%D7%9C%D7%9C-%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%A9%D7%A0%D7%9E%D7%A6%D7%90%D7%94-%D7%9C%D7%90%D7%97%D7%A8-%D7%A9%D7%A0%D7%99%D7%9D-%D7%A8%D7%91%D7%95%D7%AA-491180-3-%D7%91%D7%99%D7%94%D7%93-%D7%97%D7%99%D7%A4%D7%94/,0,,FALSE,FALSE,FALSE
השוואה ביטוח אובדן כושר עבודה,0,8,0.00%,91.6,1,https://jus-tice.co.il/income-protection-insurance/,0,,FALSE,FALSE,FALSE
השוואה בין חברות פיתוח סביבתי מומלצות באזור המרכז,0,1,0.00%,10.0,1,https://jus-tice.co.il/%D7%94%D7%97%D7%91%D7%A8%D7%95%D7%AA-%D7%94%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%95%D7%AA-%D7%AA%D7%9E%D7%90-38-%D7%AA%D7%90/,0,,FALSE,FALSE,FALSE
השוואה בין תנאי משכנתא הפוכה בחברות השונות,0,11,0.00%,72.2,1,https://jus-tice.co.il/buying-property-in-greece/,0,,FALSE,FALSE,FALSE
השוואה ספק ותשתית אינטרנט,0,11,0.00%,95.6,1,https://jus-tice.co.il/bdi-coface/,0,,FALSE,FALSE,FALSE
השוואה של גולדן ויזה במדינות,0,43,0.00%,38.4,5,https://jus-tice.co.il/%D7%93%D7%A8%D7%9B%D7%95%D7%9F-%D7%99%D7%95%D7%95%D7%A0%D7%99-%D7%94%D7%92%D7%99%D7%A8%D7%94-%D7%A8%D7%99%D7%9C%D7%95%D7%A7%D7%99%D7%99%D7%A9%D7%9F-%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D-%D7%9E%D7%94-%D7%94%D7%93%D7%A8%D7%99%D7%A9%D7%95%D7%AA-%D7%95%D7%94%D7%A2%D7%9C%D7%95%D7%99%D7%95%D7%AA/,0,https://jus-tice.co.il/%D7%94%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%94%D7%9E%D7%9C%D7%90-%D7%9C%D7%A7%D7%A0%D7%99%D7%99%D7%94-%D7%94%D7%A9%D7%9B%D7%A8%D7%94-%D7%95-airbnb-%D7%91%D7%97%D7%95%D7%9C/ | https://jus-tice.co.il/golden-visa/ | https://jus-tice.co.il/malta-citizenship-by-investment/,TRUE,FALSE,FALSE
השוואת ביטוח אובדן כושר עבודה,0,1,0.00%,44.0,1,https://jus-tice.co.il/income-protection-insurance/,0,,FALSE,FALSE,FALSE
השוואת בעלי מקצוע,0,3,0.00%,78.0,1,https://jus-tice.co.il/ai-lawyer-ranking/,0,,FALSE,FALSE,FALSE
השוואת השקעות,0,4,0.00%,90.8,1,https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%95%D7%90%D7%AA-%D7%A9%D7%95%D7%A7-%D7%94%D7%A0%D7%93%D7%9C%D7%9F-%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F-%D7%9E%D7%95%D7%9C-%D7%99%D7%95%D7%95%D7%9F/,0,,FALSE,FALSE,FALSE
"השוואת חברות הטסת בע""ח",0,7,0.00%,42.4,1,https://jus-tice.co.il/%D7%AA%D7%A0%D7%90%D7%99-%D7%94%D7%94%D7%A1%D7%92%D7%A8%D7%94-%D7%95%D7%A1%D7%99%D7%99%D7%92%D7%99%D7%94/,0,,FALSE,FALSE,FALSE
השוואת מחיר דירה רומניה,0,7,0.00%,19.1,1,https://jus-tice.co.il/real-estate-romania/,0,,FALSE,FALSE,FALSE
השוואת מחירי דירות בפאפוס,0,9,0.00%,65.7,2,https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%95%D7%90%D7%AA-%D7%A9%D7%95%D7%A7-%D7%94%D7%A0%D7%93%D7%9C%D7%9F-%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F-%D7%9E%D7%95%D7%9C-%D7%99%D7%95%D7%95%D7%9F/,0,https://jus-tice.co.il/%D7%A9%D7%95%D7%A7-%D7%94%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F/,TRUE,FALSE,FALSE
השוואת מחירי ייעוץ,0,2,0.00%,95.5,1,https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99/,0,,FALSE,FALSE,FALSE
השוואת מחירים בנדל אינטרנט,0,5,0.00%,57.8,1,https://jus-tice.co.il/real-estate-agent/,0,,FALSE,FALSE,FALSE
השוואת מחירים דירות בלימסול,0,54,0.00%,69.6,4,https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%94%D7%9B%D7%99-%D7%9E%D7%A9%D7%AA%D7%9C%D7%9D-%D7%9C%D7%9E%D7%A9%D7%A7%D7%99%D7%A2-%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%A2%D7%95%D7%9C%D7%9D/,0,https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%95%D7%90%D7%AA-%D7%A9%D7%95%D7%A7-%D7%94%D7%A0%D7%93%D7%9C%D7%9F-%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F-%D7%9E%D7%95%D7%9C-%D7%99%D7%95%D7%95%D7%9F/ | https://jus-tice.co.il/%D7%A9%D7%95%D7%A7-%D7%94%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F/ | https://jus-tice.co.il/buy-real-estate-cyprus/,TRUE,FALSE,FALSE
השוואת מחירים לדירות בלרנקה,0,76,0.00%,69.9,3,https://jus-tice.co.il/%D7%90%D7%99%D7%A4%D7%94-%D7%94%D7%9B%D7%99-%D7%9E%D7%A9%D7%AA%D7%9C%D7%9D-%D7%9C%D7%9E%D7%A9%D7%A7%D7%99%D7%A2-%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%91%D7%A2%D7%95%D7%9C%D7%9D/,0,https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%95%D7%90%D7%AA-%D7%A9%D7%95%D7%A7-%D7%94%D7%A0%D7%93%D7%9C%D7%9F-%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F-%D7%9E%D7%95%D7%9C-%D7%99%D7%95%D7%95%D7%9F/ | https://jus-tice.co.il/buy-real-estate-cyprus/,TRUE,FALSE,FALSE
השוואת מחירים של וילות בלרנקה ליד הים,0,3,0.00%,37.3,1,https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%95%D7%90%D7%AA-%D7%A9%D7%95%D7%A7-%D7%94%D7%A0%D7%93%D7%9C%D7%9F-%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F-%D7%9E%D7%95%D7%9C-%D7%99%D7%95%D7%95%D7%9F/,0,,FALSE,FALSE,FALSE
השוואת משכנתאות בקפריסין,0,91,0.00%,31.4,5,https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%95%D7%90%D7%AA-%D7%A9%D7%95%D7%A7-%D7%94%D7%A0%D7%93%D7%9C%D7%9F-%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F-%D7%9E%D7%95%D7%9C-%D7%99%D7%95%D7%95%D7%9F/,0,https://jus-tice.co.il/%D7%A9%D7%95%D7%A7-%D7%94%D7%A0%D7%93%D7%9C%D7%9F-%D7%91%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F/ | https://jus-tice.co.il/avoiding-mistakes-when-buying-property-in-cyprus/ | https://jus-tice.co.il/balloon-payment-mortgage/,TRUE,FALSE,FALSE
השוואת נדל״ן אלטרנטיבי,0,46,0.00%,64.6,1,https://jus-tice.co.il/real-estate-investing/,0,,FALSE,FALSE,FALSE
השוואת פוליסות חיסכון 2025,0,2,0.00%,94.0,1,https://jus-tice.co.il/articles/%D7%A8%D7%9B%D7%99%D7%A9%D7%AA-%D7%A0%D7%93%D7%9C%D7%9F-2025-%D7%9B%D7%9C-%D7%9E%D7%94-%D7%A9%D7%A6%D7%A8%D7%99%D7%9A-%D7%9C%D7%93%D7%A2%D7%AA/,0,,FALSE,FALSE,FALSE
השוואת שירותי צוואה דיגיטלית,0,128,0.00%,46.7,3,https://jus-tice.co.il/,0,https://jus-tice.co.il/%D7%A6%D7%95-%D7%99%D7%A8%D7%95%D7%A9%D7%94-%D7%90%D7%95%D7%A0%D7%9C%D7%99%D7%99%D7%9F-%D7%A2%D7%9D-%D7%97%D7%95%D7%AA%D7%9E%D7%AA-%D7%90%D7%A4%D7%95%D7%A1%D7%98%D7%99%D7%9C/ | https://jus-tice.co.il/online-family-law-services/,TRUE,FALSE,FALSE
השוטר אזולאי להורדה,0,1,0.00%,41.0,1,https://jus-tice.co.il/%D7%A2%D7%9E%D7%AA20794-07-22%D7%9E%D7%93%D7%99%D7%A0%D7%AA-%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A0-%D7%AA%D7%9E%D7%9D%D7%A2%D7%A6%D7%99%D7%A8/,0,,FALSE,FALSE,FALSE
השוטר מאיר סוויסה,0,1,0.00%,73.0,1,https://jus-tice.co.il/%D7%96%D7%99%D7%9B%D7%95%D7%99-%D7%A0%D7%90%D7%A9%D7%9D-%D7%A7%D7%A9%D7%99%D7%A8%D7%AA-%D7%A7%D7%A9%D7%A8-%D7%9C%D7%91%D7%99%D7%A6%D7%95%D7%A2-%D7%A2%D7%95%D7%95%D7%9F-%D7%AA%D7%A4-14763-04-15-%D7%9E%D7%93%D7%99%D7%A0%D7%AA-%D7%99%D7%A9%D7%A8%D7%90%D7%9C-%D7%A0%D7%99-%D7%90%D7%91%D7%A8%D7%94%D7%9D-%D7%9E%D7%90%D7%99%D7%A8-%D7%98%D7%A8%D7%99%D7%92%D7%A8/,0,,FALSE,FALSE,FALSE
