query,page,clicks,impressions,ctr,position,is_branded,is_money_keyword,is_criminal_law,is_family_law
'משמורת ילדים לפני גירושין',https://jus-tice.co.il/child-custody-modification/,0,120,0.00%,26.9,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים לפני גירושין',https://jus-tice.co.il/custody-rights-for-fathers/,0,14,0.00%,69.7,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים לפני גירושין',https://jus-tice.co.il/joint-custody-shared-parenting/,0,33,0.00%,57.5,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים לפני גירושין',https://jus-tice.co.il/mom-full-custody/,0,76,0.00%,50.5,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים לפני גירושין',https://jus-tice.co.il/tender-years-mother-custody-child-age-under-6/,0,11,0.00%,64.9,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים סמכות',https://jus-tice.co.il/%D7%91%D7%92%D7%A5-5988/21-%D7%A1%D7%9E%D7%9B%D7%95%D7%AA-%D7%91%D7%AA%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99%D7%99%D7%9D-%D7%91%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,0,57,0.00%,50.5,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים סמכות',https://jus-tice.co.il/%D7%91%D7%99%D7%AA-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%A8%D7%91%D7%A0%D7%99-%D7%A7%D7%A0%D7%94-%D7%A1%D7%9E%D7%9B%D7%95%D7%AA-%D7%9C%D7%9E%D7%A8%D7%95%D7%AA-%D7%94%D7%92%D7%A9%D7%AA-%D7%AA%D7%95%D7%91%D7%A2%D7%A0%D7%94-%D7%91%D7%A2%D7%A0%D7%99%D7%99%D7%9F-%D7%94%D7%97%D7%96%D7%A7%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/,0,8,0.00%,54.1,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים סמכות',https://jus-tice.co.il/%D7%A1%D7%9E%D7%9B%D7%95%D7%AA-%D7%94%D7%A2%D7%91%D7%A8%D7%AA-%D7%A7%D7%98%D7%99%D7%A0%D7%95%D7%AA-%D7%9C%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%90%D7%91-%D7%91%D7%91%D7%99%D7%AA-%D7%93%D7%99%D7%9F-%D7%A8%D7%91%D7%A0%D7%99/,0,41,0.00%,51.9,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים סמכות',https://jus-tice.co.il/child-custody-modification/,0,48,0.00%,49.4,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים סמכות',https://jus-tice.co.il/joint-custody-shared-parenting/,0,8,0.00%,82.8,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים סמכות',https://jus-tice.co.il/mom-full-custody/,0,15,0.00%,61.3,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים סמכות',https://jus-tice.co.il/tender-years-mother-custody-child-age-under-6/,0,3,0.00%,51.3,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים סמכות',https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf,0,60,0.00%,33.7,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים עד גיל 6',https://jus-tice.co.il/child-custody-modification/,0,10,0.00%,51.4,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים עד גיל 6',https://jus-tice.co.il/tender-years-mother-custody-child-age-under-6/,0,119,0.00%,16.0,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים עד גיל 6',https://jus-tice.co.il/what-is-child-custody/,0,120,0.00%,43.8,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים',https://jus-tice.co.il/child-custody-modification/,0,66,0.00%,65.4,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים',https://jus-tice.co.il/mom-full-custody/,0,2,0.00%,60.5,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים',https://jus-tice.co.il/what-is-child-custody/,0,109,0.00%,73.3,FALSE,FALSE,FALSE,TRUE
'משמורת ילדים',https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf,0,82,0.00%,18.9,FALSE,FALSE,FALSE,TRUE
'משמורת משותפת מתחת לגיל 6',https://jus-tice.co.il/child-custody-modification/,0,40,0.00%,60.1,FALSE,FALSE,FALSE,TRUE
'משמורת משותפת מתחת לגיל 6',https://jus-tice.co.il/joint-custody-shared-parenting/,0,23,0.00%,59.9,FALSE,FALSE,FALSE,TRUE
'משמורת משותפת מתחת לגיל 6',https://jus-tice.co.il/tender-years-mother-custody-child-age-under-6/,0,110,0.00%,26.1,FALSE,FALSE,FALSE,TRUE
'משמורת משותפת מתחת לגיל 6',https://jus-tice.co.il/what-is-child-custody/,0,24,0.00%,49.3,FALSE,FALSE,FALSE,TRUE
'משמורת על ילדים',https://jus-tice.co.il/child-custody-modification/,0,110,0.00%,40.9,FALSE,FALSE,FALSE,TRUE
'משמורת על ילדים',https://jus-tice.co.il/mom-full-custody/,0,26,0.00%,57.4,FALSE,FALSE,FALSE,TRUE
'משמורת על ילדים',https://jus-tice.co.il/what-is-child-custody/,0,69,0.00%,67.2,FALSE,FALSE,FALSE,TRUE
'משמורת על ילדים',https://jus-tice.co.il/wp-content/uploads/2021/07/ChildCustody.pdf,0,75,0.00%,23.2,FALSE,FALSE,FALSE,TRUE
'עורך דין גירושין מומלץ',https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/,0,214,0.00%,83.4,FALSE,TRUE,FALSE,TRUE
'עורך דין גירושין מומלץ',https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92,0,31,0.00%,26.8,FALSE,TRUE,FALSE,TRUE
'עורך דין גירושין מומלץ',https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92/,0,311,0.00%,29.2,FALSE,TRUE,FALSE,TRUE
'עורך דין גירושין מומלץ',https://jus-tice.co.il/articles/%D7%90%D7%99%D7%9A-%D7%9C%D7%91%D7%97%D7%95%D7%A8-%D7%9E%D7%A9%D7%A8%D7%93-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9B%D7%A9%D7%9E%D7%AA%D7%92%D7%A8/,0,11,0.00%,68.9,FALSE,TRUE,FALSE,TRUE
'עורך דין גירושין מומלץ',https://jus-tice.co.il/trusted-divorce-attorney-guide/,0,20,0.00%,66.7,FALSE,TRUE,FALSE,TRUE
'עורך דין גירושין מחיר',https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/,0,43,0.00%,68.3,FALSE,TRUE,FALSE,TRUE
'עורך דין גירושין מחיר',https://jus-tice.co.il/divorce-costs-2025/,0,51,0.00%,27.6,FALSE,TRUE,FALSE,TRUE
'עורך דין גירושין מחיר',https://jus-tice.co.il/how-much-does-a-divorce-agreement-cost/,0,102,0.00%,58.4,FALSE,TRUE,FALSE,TRUE
'עורך דין גירושין מחיר',https://jus-tice.co.il/how-much-will-a-criminal-defense-lawyer-cost/,0,54,0.00%,64.1,FALSE,TRUE,FALSE,TRUE
'עורך דין לענייני גירושין',https://jus-tice.co.il/divorce-costs-2025/,0,5,0.00%,67.2,FALSE,TRUE,FALSE,TRUE
'עורך דין לענייני גירושין',https://jus-tice.co.il/trusted-divorce-attorney-guide/,0,3,0.00%,72.3,FALSE,TRUE,FALSE,TRUE
'עורך דין תותח לגירושין',https://jus-tice.co.il/%D7%A2%D7%95%D7%93-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%9B%D7%99%D7%A6%D7%93-%D7%9C%D7%9E%D7%A6%D7%95%D7%90-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%95%D7%9B%D7%9E%D7%94-%D7%A2%D7%95%D7%9C%D7%94-%D7%9C%D7%94%D7%AA%D7%92%D7%A8%D7%A9/,0,51,0.00%,83.0,FALSE,TRUE,FALSE,TRUE
'עורך דין תותח לגירושין',https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%AA-%D7%93%D7%99%D7%9F-%D7%9E%D7%90%D7%99%D7%94-%D7%A8%D7%95%D7%98%D7%A0%D7%91%D7%A8%D7%92/,0,3,0.00%,47.0,FALSE,TRUE,FALSE,TRUE
'פתיחת תיק גירושין ברבנות כמה עולה',https://jus-tice.co.il/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%A2%D7%93%D7%9B%D7%A0%D7%99-%D7%9C%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F/,0,1,0.00%,64.0,FALSE,FALSE,FALSE,TRUE
'פתיחת תיק גירושין ברבנות כמה עולה',https://jus-tice.co.il/divorce-costs-2025/,0,57,0.00%,45.2,FALSE,FALSE,FALSE,TRUE
'פתיחת תיק גירושין ברבנות כמה עולה',https://jus-tice.co.il/divorce-everything-you-need-to-know/,0,40,0.00%,79.3,FALSE,FALSE,FALSE,TRUE
'פתיחת תיק גירושין ברבנות כמה עולה',https://jus-tice.co.il/online-family-law-services/,0,2,0.00%,91.0,FALSE,FALSE,FALSE,TRUE
((((ארגוני פשיעה) מחאה) בתי) סוהר),https://jus-tice.co.il/%D7%A1%D7%99%D7%95%D7%A2-%D7%A2%D7%95%D7%93-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%9C%D7%A4%D7%99-%D7%9E%D7%93%D7%99%D7%A0%D7%94/,0,1,0.00%,44.0,FALSE,FALSE,FALSE,FALSE
((((ארגוני פשיעה) מחאה) בתי) סוהר),https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94-%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%AA-%D7%99%D7%A2%D7%99%D7%9C%D7%94-%D7%9E%D7%96%D7%A8%D7%97-%D7%90%D7%99%D7%A8%D7%95%D7%A4%D7%94/,0,1,0.00%,79.0,FALSE,FALSE,FALSE,FALSE
((((ארגוני פשיעה) מחאה) בתי) סוהר),https://jus-tice.co.il/history-of-criminal-justice/,0,1,0.00%,73.0,FALSE,FALSE,FALSE,FALSE
((((ארגוני פשיעה) מחאה) בתי) סוהר),https://jus-tice.co.il/standard-minimum-rules-for-treatment-of-prisoners/,0,2,0.00%,50.5,FALSE,FALSE,FALSE,FALSE
((רשות ניירות) ערך) חקירה,https://jus-tice.co.il/wp-content/uploads/2022/06/06102016_1.pdf,0,2,0.00%,755.0,FALSE,FALSE,TRUE,FALSE
(filetype:pdf or filetype:doc or filetype:docx or filetype:ppt or filetype:pptx or filetype:xls or filetype:xlsx) (inurl:advocate or inurl:adv or inurl:attorney or inurl:court or inurl:justice) site:*.il,https://jus-tice.co.il/wp-content/uploads/2023/03/ATTORNEY-LIST-December-2017-1.pdf,0,2,0.00%,65.0,TRUE,FALSE,FALSE,FALSE
(filetype:pdf or filetype:doc or filetype:docx or filetype:ppt or filetype:pptx or filetype:xls or filetype:xlsx) (inurl:advocate or inurl:adv or inurl:attorney or inurl:court or inurl:justice) site:*.il,https://jus-tice.co.il/wp-content/uploads/2023/03/Attorney-List-July-updated-Nov-2020-1.pdf,0,1,0.00%,108.0,TRUE,FALSE,FALSE,FALSE
+1 (206) 210-8235,https://jus-tice.co.il/wp-content/uploads/2023/03/Attorney-List-July-updated-Nov-2020-1.pdf,0,31,0.00%,9.2,FALSE,FALSE,FALSE,FALSE
+משרדים +בשחם,https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F/,0,31,0.00%,13.7,FALSE,FALSE,FALSE,FALSE
",gus, huar",https://jus-tice.co.il/apply-for-police-criminal-information-certificates/,0,5,0.00%,13.8,FALSE,FALSE,FALSE,FALSE
-בדיקת ביטויים ב קונסול,https://jus-tice.co.il/%D7%97%D7%AA%D7%99%D7%9E%D7%AA-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A0%D7%95%D7%98%D7%A8%D7%99%D7%95%D7%9F/,0,1,0.00%,66.0,FALSE,FALSE,FALSE,FALSE
-בדיקת ביטויים ב קונסול,https://jus-tice.co.il/murder-in-united-states-law/,0,1,0.00%,36.0,FALSE,FALSE,FALSE,FALSE
. הסכם ממון עורך דין,https://jus-tice.co.il/how-much-does-prenup-cost/,0,19,0.00%,88.4,FALSE,TRUE,FALSE,TRUE
. הסכם ממון עורך דין,https://jus-tice.co.il/prenup-attorney/,0,112,0.00%,73.7,FALSE,TRUE,FALSE,TRUE
.גישור גירושין,https://jus-tice.co.il/%D7%92%D7%99%D7%A9%D7%95%D7%A8-%D7%92%D7%99%D7%A8%D7%95%D7%A9%D7%99%D7%9F-%D7%9E%D7%94-%D7%96%D7%94-%D7%95%D7%90%D7%99%D7%9A-%D7%94%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%A2%D7%95%D7%91%D7%93/,0,36,0.00%,78.1,FALSE,FALSE,FALSE,TRUE
.גישור גירושין,https://jus-tice.co.il/divorce-mediation-basics/,0,10,0.00%,55.9,FALSE,FALSE,FALSE,TRUE
.גישור גירושין,https://jus-tice.co.il/divorce-mediation-cons-pros/,0,61,0.00%,66.5,FALSE,FALSE,FALSE,TRUE
.דרכון גרמני המלצות,https://jus-tice.co.il/german-passport/,0,35,0.00%,27.1,FALSE,FALSE,FALSE,FALSE
/overview אני רוצה למצוא חברות להתחדשות עירונית כדי שיעשו לנו פרויקט בתל אביב,https://jus-tice.co.il/%D7%94%D7%97%D7%91%D7%A8%D7%95%D7%AA-%D7%94%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%95%D7%AA-%D7%AA%D7%9E%D7%90-38-%D7%AA%D7%90/,0,1,0.00%,6.0,FALSE,FALSE,FALSE,FALSE
/overview חברות נדלן מובילות פינוי בינוי תל אביב 2025,https://jus-tice.co.il/%D7%94%D7%97%D7%91%D7%A8%D7%95%D7%AA-%D7%94%D7%9E%D7%95%D7%91%D7%99%D7%9C%D7%95%D7%AA-%D7%AA%D7%9E%D7%90-38-%D7%AA%D7%90/,0,63,0.00%,5.7,FALSE,FALSE,FALSE,FALSE
0 06 20,https://jus-tice.co.il/69430-06-20/,0,1,0.00%,6.0,FALSE,FALSE,FALSE,FALSE
01 19,https://jus-tice.co.il/decision50014-01-19/,0,1,0.00%,47.0,FALSE,FALSE,FALSE,FALSE
01-17,https://jus-tice.co.il/psakdin/%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%A6%D7%95%D7%95%D7%90%D7%94-%D7%9E%D7%90%D7%95%D7%97%D7%A8%D7%AA-%D7%91%D7%A9%D7%9C-%D7%94%D7%A9%D7%A4%D7%A2%D7%94-%D7%91%D7%9C%D7%AA%D7%99-%D7%94%D7%95%D7%92%D7%A0/,0,3,0.00%,40.3,FALSE,FALSE,FALSE,FALSE
"013 נטוויז'ן בע""מ",https://jus-tice.co.il/psakdin/%D7%A4%D7%A1%D7%93-%D7%A1%D7%9C%D7%A7%D7%95%D7%9D-%D7%9E%D7%9B%D7%A8%D7%94-%D7%9E%D7%99%D7%93%D7%A2-%D7%95%D7%A0%D7%AA%D7%95%D7%A0%D7%99-%D7%90%D7%99%D7%9B%D7%95%D7%9F-%D7%A2%D7%9C-%D7%9C%D7%A7/,0,9,0.00%,62.3,FALSE,FALSE,FALSE,FALSE
01:20,https://jus-tice.co.il/%D7%96%D7%9B%D7%90%D7%95%D7%AA-%D7%9C%D7%94%D7%97%D7%96%D7%A8-%D7%9E%D7%A1-%D7%A8%D7%9B%D7%99%D7%A9%D7%94-%D7%91%D7%92%D7%99%D7%9F-%D7%91%D7%99%D7%98%D7%95%D7%9C-%D7%A2%D7%A1%D7%A7%D7%94-%D7%91%D7%9E%D7%A7%D7%A8%D7%A7%D7%A2%D7%99%D7%9F/,0,1,0.00%,97.0,FALSE,FALSE,FALSE,FALSE
01:20,https://jus-tice.co.il/%D7%A4%D7%A1%D7%93-%D7%91%D7%A2%D7%A0%D7%99%D7%99%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%AA%D7%9C%D7%94%D7%9E-21976-01-20/,0,6,0.00%,95.2,FALSE,FALSE,FALSE,FALSE
01:20,https://jus-tice.co.il/52705-01-20/,0,9,0.00%,48.9,FALSE,FALSE,FALSE,FALSE
02 18,https://jus-tice.co.il/psakdin/%D7%A4%D7%99%D7%A8%D7%95%D7%A7-%D7%A9%D7%99%D7%AA%D7%95%D7%A3-%D7%91%D7%A0%D7%97%D7%9C%D7%94-%D7%9C%D7%A4%D7%99-%D7%94%D7%9C%D7%9B%D7%AA-%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A3-%D7%AA%D7%9C%D7%94/,0,2,0.00%,23.5,FALSE,FALSE,FALSE,FALSE
02 21,https://jus-tice.co.il/%D7%A4%D7%99%D7%A6%D7%95%D7%99-%D7%91%D7%92%D7%99%D7%9F-%D7%90%D7%99%D7%97%D7%95%D7%A8-%D7%91%D7%9E%D7%A1%D7%99%D7%A8%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%9E%D7%A7%D7%91%D7%9C%D7%9F-%D7%AA%D7%90-10300-02-21/,0,2,0.00%,21.0,FALSE,FALSE,FALSE,FALSE
02 21,https://jus-tice.co.il/%D7%A4%D7%A1%D7%A7-%D7%93%D7%99%D7%9F-%D7%AA%D7%A2%D7%91%D7%95%D7%A8%D7%94-%D7%A2%D7%99%D7%9F-%D7%94%D7%A0%D7%A5-%D7%A7%D7%91%D7%99%D7%9C%D7%95%D7%AA-%D7%95%D7%97%D7%95%D7%A7%D7%99%D7%95%D7%AA-%D7%A8%D7%90%D7%99%D7%95%D7%AA-%D7%A9%D7%94%D7%95%D7%A0%D7%A4%D7%A7%D7%95-%D7%9E%D7%94%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA/,0,1,0.00%,70.0,FALSE,FALSE,FALSE,FALSE
02-5656400,https://jus-tice.co.il/israel-tax-authority/,0,1,0.00%,77.0,FALSE,FALSE,FALSE,FALSE
02/18,https://jus-tice.co.il/psakdin/%D7%A4%D7%99%D7%A8%D7%95%D7%A7-%D7%A9%D7%99%D7%AA%D7%95%D7%A3-%D7%91%D7%A0%D7%97%D7%9C%D7%94-%D7%9C%D7%A4%D7%99-%D7%94%D7%9C%D7%9B%D7%AA-%D7%94%D7%A9%D7%99%D7%AA%D7%95%D7%A3-%D7%AA%D7%9C%D7%94/,0,3,0.00%,43.0,FALSE,FALSE,FALSE,FALSE
03 18,https://jus-tice.co.il/decision6199-03-18/,0,3,0.00%,36.3,FALSE,FALSE,FALSE,FALSE
03 19,https://jus-tice.co.il/%D7%AA%D7%91%D7%99%D7%A2%D7%94-%D7%90%D7%96%D7%A8%D7%97%D7%99%D7%AA-%D7%A0%D7%92%D7%A8%D7%A8%D7%AA-%D7%9C%D7%94%D7%A8%D7%A9%D7%A2%D7%94-%D7%91%D7%A4%D7%9C%D7%99%D7%9C%D7%99%D7%9D-%D7%AA%D7%90-38003-03-19/,0,1,0.00%,58.0,FALSE,FALSE,FALSE,FALSE
03 22,https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%A4%D7%98%D7%AA-%D7%94%D7%99%D7%9C%D7%94-%D7%92%D7%95%D7%A8%D7%91%D7%99%D7%A5-%D7%A2%D7%95%D7%91%D7%93%D7%99%D7%94-%D7%A4%D7%A1%D7%A7-%D7%93%D7%99%D7%9F-%D7%91%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%AA%D7%99%D7%A7%D7%95%D7%9F-%D7%A6%D7%95-%D7%99%D7%A8%D7%95%D7%A9%D7%94-%D7%AA%D7%A2-60847-03-22/,0,1,0.00%,17.0,FALSE,FALSE,FALSE,FALSE
03/19,https://jus-tice.co.il/ruling-on-conflicting-real-estate-transactions/,0,1,0.00%,80.0,FALSE,FALSE,FALSE,FALSE
036177750,https://jus-tice.co.il/psakdin/,0,1,0.00%,15.0,FALSE,FALSE,FALSE,FALSE
04 21,https://jus-tice.co.il/%D7%A2%D7%90-10403-04-21-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-51-%D7%91%D7%A2%D7%9E-%D7%A0-%D7%9E%D7%99%D7%A8%D7%91%D7%95-%D7%A4%D7%A8%D7%95%D7%99%D7%99%D7%A7%D7%98%D7%99%D7%9D-%D7%91%D7%A2%D7%9E/,0,1,0.00%,90.0,FALSE,FALSE,FALSE,FALSE
05 18,https://jus-tice.co.il/53556-05-18/,0,3,0.00%,16.0,FALSE,FALSE,FALSE,FALSE
05 20,https://jus-tice.co.il/%D7%A4%D7%A1%D7%93-%D7%91%D7%AA%D7%91%D7%99%D7%A2%D7%94-%D7%91%D7%99%D7%9F-%D7%90%D7%97%D7%99%D7%9D-%D7%A2%D7%9C-%D7%A8%D7%A7%D7%A2-%D7%A2%D7%96%D7%91%D7%95%D7%9F-%D7%90%D7%9E%D7%9D-%D7%AA%D7%9E%D7%A9-12532-05-20/,0,3,0.00%,39.3,FALSE,FALSE,FALSE,FALSE
05 21,https://jus-tice.co.il/%D7%AA%D7%9013429-05-21-%D7%A0%D7%AA%D7%A0%D7%99%D7%94%D7%95-%D7%95%D7%90%D7%97-%D7%A0-%D7%90%D7%95%D7%9C%D7%9E%D7%A8%D7%98/,0,1,0.00%,87.0,FALSE,FALSE,FALSE,FALSE
06,https://jus-tice.co.il/psakdin/%D7%A4%D7%99%D7%A6%D7%95%D7%99-%D7%91%D7%92%D7%99%D7%9F-%D7%9E%D7%A2%D7%A6%D7%A8-%D7%A9%D7%95%D7%95%D7%90-%D7%A6%D7%90-24231-06-21/,0,5,0.00%,44.8,FALSE,FALSE,FALSE,FALSE
06 17,https://jus-tice.co.il/psakdin/%D7%97%D7%99%D7%95%D7%91-%D7%90%D7%9D-%D7%91%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%AA%D7%91%D7%99%D7%A2%D7%94-%D7%9C%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%95%D7%94%D7%97%D7%96%D7%A8-%D7%9B%D7%A1/,0,1,0.00%,16.0,FALSE,FALSE,FALSE,FALSE
06 19,https://jus-tice.co.il/%D7%93%D7%97%D7%99%D7%99%D7%AA-%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%94%D7%AA%D7%A0%D7%92%D7%93%D7%95%D7%AA-%D7%9C%D7%A6%D7%95-%D7%99%D7%A8%D7%95%D7%A9%D7%94-%D7%A2%D7%9C-%D7%99%D7%93%D7%99-%D7%94%D7%A0%D7%AA%D7%91%D7%A2%D7%AA-%D7%94%D7%98%D7%95%D7%A2%D7%A0%D7%AA-%D7%9C%D7%94%D7%99%D7%95%D7%AA%D7%94-%D7%91%D7%AA-%D7%94%D7%96%D7%95%D7%92-%D7%A9%D7%9C-%D7%94%D7%9E%D7%A0%D7%95%D7%97-%D7%AA%D7%A2-57474-06-19/,0,1,0.00%,73.0,FALSE,FALSE,FALSE,FALSE
06 21,https://jus-tice.co.il/psakdin/%D7%A4%D7%99%D7%A6%D7%95%D7%99-%D7%91%D7%92%D7%99%D7%9F-%D7%9E%D7%A2%D7%A6%D7%A8-%D7%A9%D7%95%D7%95%D7%90-%D7%A6%D7%90-24231-06-21/,0,3,0.00%,56.0,FALSE,FALSE,FALSE,FALSE
06/19,https://jus-tice.co.il/%D7%AA%D7%91%D7%99%D7%A2%D7%94-%D7%91%D7%99%D7%97%D7%A1-%D7%9C%D7%96%D7%9B%D7%95%D7%99%D7%95%D7%AA-%D7%99%D7%95%D7%A6%D7%A8%D7%99%D7%9D-%D7%91%D7%9E%D7%A9%D7%97%D7%A7-%D7%A9%D7%9D-%D7%A7%D7%95%D7%93/,0,4,0.00%,56.3,FALSE,FALSE,FALSE,FALSE
06/21,https://jus-tice.co.il/%D7%94%D7%A9%D7%95%D7%A4%D7%98-%D7%90%D7%A8%D7%96-%D7%A9%D7%A0%D7%99-%D7%A4%D7%A1%D7%93-%D7%91%D7%AA%D7%91%D7%99%D7%A2%D7%AA-%D7%90%D7%91-%D7%9C%D7%9E%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%95%D7%97%D7%9C%D7%95%D7%A7%D7%AA-%D7%96%D7%9E%D7%A0%D7%99-%D7%A9%D7%94%D7%95%D7%AA-%D7%A9%D7%95%D7%95%D7%99%D7%9D-%D7%AA%D7%9C%D7%94%D7%9E-64033-06-21/,0,1,0.00%,62.0,FALSE,FALSE,FALSE,FALSE
06/21,https://jus-tice.co.il/articles/%D7%94%D7%A9%D7%95%D7%A4%D7%98-%D7%99%D7%97%D7%96%D7%A7%D7%90%D7%9C-%D7%90%D7%9C%D7%99%D7%94%D7%95-%D7%94%D7%97%D7%9C%D7%98%D7%94-%D7%91%D7%91%D7%A7%D7%A9%D7%94-%D7%9C%D7%A6%D7%A8%D7%A3-%D7%AA%D7%95/,0,1,0.00%,57.0,FALSE,FALSE,FALSE,FALSE
07 17,https://jus-tice.co.il/tort/%D7%A4%D7%99%D7%A6%D7%95%D7%99-%D7%AA%D7%90%D7%95%D7%A0%D7%AA-%D7%90%D7%95%D7%A4%D7%A0%D7%95%D7%A2/,0,1,0.00%,67.0,FALSE,FALSE,FALSE,FALSE
